correct,effect_size,frame,pred,cont,gender,comp,good_sent,bad_sent
1,1.922985760000003,0,0,he,m,if_diff>a_diff,"John owns a cow, and he beats it. He also feeds it.","If John owns a cow, he beats it. He also feeds it."
1,2.145672210000015,0,0,he,m,whenever_diff>a_diff,"John owns a cow, and he beats it. He also feeds it.","Whenever John owns a cow, he beats it. He also feeds it."
0,-1.3749427999999924,0,0,it,m,if_diff>a_diff,"John owns a cow, and he beats it. It is a big one.","If John owns a cow, he beats it. It is a big one."
1,1.358265799999991,0,0,it,m,whenever_diff>a_diff,"John owns a cow, and he beats it. It is a big one.","Whenever John owns a cow, he beats it. It is a big one."
1,2.4359036299999843,0,0,he,f,if_diff>a_diff,"Mary owns a cow, and she beats it. She also feeds it.","If Mary owns a cow, she beats it. She also feeds it."
1,2.6809490899999915,0,0,he,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. She also feeds it.","Whenever Mary owns a cow, she beats it. She also feeds it."
0,-0.6157956000000198,0,0,it,f,if_diff>a_diff,"Mary owns a cow, and she beats it. It is a big one.","If Mary owns a cow, she beats it. It is a big one."
1,1.1506790999999978,0,0,it,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. It is a big one.","Whenever Mary owns a cow, she beats it. It is a big one."
1,2.117961799999982,0,1,he,m,if_diff>a_diff,"John owns a cow, and he beats it. He also sells it.","If John owns a cow, he beats it. He also sells it."
1,3.088592470000009,0,1,he,m,whenever_diff>a_diff,"John owns a cow, and he beats it. He also sells it.","Whenever John owns a cow, he beats it. He also sells it."
1,0.6024604499999882,0,1,it,m,if_diff>a_diff,"John owns a cow, and he beats it. It is a healthy one.","If John owns a cow, he beats it. It is a healthy one."
1,1.9256582499999837,0,1,it,m,whenever_diff>a_diff,"John owns a cow, and he beats it. It is a healthy one.","Whenever John owns a cow, he beats it. It is a healthy one."
1,1.727604900000017,0,1,he,f,if_diff>a_diff,"Mary owns a cow, and she beats it. She also sells it.","If Mary owns a cow, she beats it. She also sells it."
1,3.9610286400000163,0,1,he,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. She also sells it.","Whenever Mary owns a cow, she beats it. She also sells it."
1,1.5303955999999843,0,1,it,f,if_diff>a_diff,"Mary owns a cow, and she beats it. It is a healthy one.","If Mary owns a cow, she beats it. It is a healthy one."
1,1.967447000000007,0,1,it,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. It is a healthy one.","Whenever Mary owns a cow, she beats it. It is a healthy one."
1,1.5242300999999898,0,2,he,m,if_diff>a_diff,"John owns a cow, and he beats it. He also cleans it.","If John owns a cow, he beats it. He also cleans it."
1,3.069751899999993,0,2,he,m,whenever_diff>a_diff,"John owns a cow, and he beats it. He also cleans it.","Whenever John owns a cow, he beats it. He also cleans it."
1,0.7031449799999834,0,2,it,m,if_diff>a_diff,"John owns a cow, and he beats it. It is a brown one.","If John owns a cow, he beats it. It is a brown one."
1,0.8658160299999764,0,2,it,m,whenever_diff>a_diff,"John owns a cow, and he beats it. It is a brown one.","Whenever John owns a cow, he beats it. It is a brown one."
1,1.4655249999999924,0,2,he,f,if_diff>a_diff,"Mary owns a cow, and she beats it. She also cleans it.","If Mary owns a cow, she beats it. She also cleans it."
1,3.5377528,0,2,he,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. She also cleans it.","Whenever Mary owns a cow, she beats it. She also cleans it."
1,0.7368896000000049,0,2,it,f,if_diff>a_diff,"Mary owns a cow, and she beats it. It is a brown one.","If Mary owns a cow, she beats it. It is a brown one."
1,1.41533960000001,0,2,it,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. It is a brown one.","Whenever Mary owns a cow, she beats it. It is a brown one."
1,1.6667169799999968,0,3,he,m,if_diff>a_diff,"John owns a cow, and he beats it. He also protects it.","If John owns a cow, he beats it. He also protects it."
1,2.493860269999999,0,3,he,m,whenever_diff>a_diff,"John owns a cow, and he beats it. He also protects it.","Whenever John owns a cow, he beats it. He also protects it."
1,0.31786729999998187,0,3,it,m,if_diff>a_diff,"John owns a cow, and he beats it. It is a black one.","If John owns a cow, he beats it. It is a black one."
1,1.9858256999999924,0,3,it,m,whenever_diff>a_diff,"John owns a cow, and he beats it. It is a black one.","Whenever John owns a cow, he beats it. It is a black one."
1,2.308319439999991,0,3,he,f,if_diff>a_diff,"Mary owns a cow, and she beats it. She also protects it.","If Mary owns a cow, she beats it. She also protects it."
1,2.8913675999999953,0,3,he,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. She also protects it.","Whenever Mary owns a cow, she beats it. She also protects it."
1,1.5683606499999883,0,3,it,f,if_diff>a_diff,"Mary owns a cow, and she beats it. It is a black one.","If Mary owns a cow, she beats it. It is a black one."
1,2.259137850000009,0,3,it,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. It is a black one.","Whenever Mary owns a cow, she beats it. It is a black one."
1,0.6065658599999963,0,4,he,m,if_diff>a_diff,"John owns a cow, and he beats it. He also tends it.","If John owns a cow, he beats it. He also tends it."
1,1.5049158000000062,0,4,he,m,whenever_diff>a_diff,"John owns a cow, and he beats it. He also tends it.","Whenever John owns a cow, he beats it. He also tends it."
0,-0.7162690000000111,0,4,it,m,if_diff>a_diff,"John owns a cow, and he beats it. It is a young one.","If John owns a cow, he beats it. It is a young one."
1,1.1760782999999932,0,4,it,m,whenever_diff>a_diff,"John owns a cow, and he beats it. It is a young one.","Whenever John owns a cow, he beats it. It is a young one."
1,0.9379416999999961,0,4,he,f,if_diff>a_diff,"Mary owns a cow, and she beats it. She also tends it.","If Mary owns a cow, she beats it. She also tends it."
1,1.1836577999999989,0,4,he,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. She also tends it.","Whenever Mary owns a cow, she beats it. She also tends it."
0,-0.26479650000000277,0,4,it,f,if_diff>a_diff,"Mary owns a cow, and she beats it. It is a young one.","If Mary owns a cow, she beats it. It is a young one."
1,1.1591079000000164,0,4,it,f,whenever_diff>a_diff,"Mary owns a cow, and she beats it. It is a young one.","Whenever Mary owns a cow, she beats it. It is a young one."
