gender,frame,sent1,sent2,raw_response,correct
m,0,Every farmer worked in the field. He dreamed of the harvest.,A farmer worked in the field. He dreamed of the harvest.,1,0
f,0,Every farmer worked in the field. She dreamed of the harvest.,A farmer worked in the field. She dreamed of the harvest.,2,1
m,1,A pirate sailed across the ocean. He laughed as the waves crashed around.,Every pirate sailed across the ocean. He laughed as the waves crashed around.,1,1
f,1,Every pirate sailed across the ocean. She laughed as the waves crashed around.,A pirate sailed across the ocean. She laughed as the waves crashed around.,2,1
m,2,Every kid played in the park. He shouted with joy.,A kid played in the park. He shouted with joy.,2,1
f,2,A kid played in the park. She shouted with joy.,Every kid played in the park. She shouted with joy.,1,1
m,3,Every student studied in the library. He stared at the pages.,A student studied in the library. He stared at the pages.,2,1
f,3,A student studied in the library. She stared at the pages.,Every student studied in the library. She stared at the pages.,1,1
m,4,A doctor waited in the hallway. He spoke to the nurse.,Every doctor waited in the hallway. He spoke to the nurse.,1,1
f,4,Every doctor waited in the hallway. She spoke to the nurse.,A doctor waited in the hallway. She spoke to the nurse.,2,1
m,5,Every photographer stood by the fountain. He waited for the shot.,A photographer stood by the fountain. He waited for the shot.,1,0
f,5,Every photographer stood by the fountain. She waited for the shot.,A photographer stood by the fountain. She waited for the shot.,1,0
m,6,A surgeon operated in the hospital. He cried from the weight of responsibility.,Every surgeon operated in the hospital. He cried from the weight of responsibility.,1,1
f,6,Every surgeon operated in the hospital. She cried from the weight of responsibility.,A surgeon operated in the hospital. She cried from the weight of responsibility.,2,1
m,7,An editor signed at the desk. He sighed at the workload.,Every editor signed at the desk. He sighed at the workload.,2,0
f,7,Every editor signed at the desk. She sighed at the workload.,An editor signed at the desk. She sighed at the workload.,2,1
m,8,A chef cooked in the kitchen. He danced to the background music.,Every chef cooked in the kitchen. He danced to the background music.,1,1
f,8,Every chef cooked in the kitchen. She danced to the background music.,A chef cooked in the kitchen. She danced to the background music.,2,1
m,9,Every hunter hid in the bushes. He listened for footsteps.,A hunter hid in the bushes. He listened for footsteps.,2,1
f,9,Every hunter hid in the bushes. She listened for footsteps.,A hunter hid in the bushes. She listened for footsteps.,2,1
m,10,Every player rested on the bench. He cheered for the team.,A player rested on the bench. He cheered for the team.,2,1
f,10,A player rested on the bench. She cheered for the team.,Every player rested on the bench. She cheered for the team.,1,1
m,11,A police stood by the intersection. He waved at the cars.,Every police stood by the intersection. He waved at the cars.,1,1
f,11,A police stood by the intersection. She waved at the cars.,Every police stood by the intersection. She waved at the cars.,1,1
m,12,A researcher hesitated before an experiment. He wandered through the notes.,Every researcher hesitated before an experiment. He wandered through the notes.,1,1
f,12,Every researcher hesitated before an experiment. She wandered through the notes.,A researcher hesitated before an experiment. She wandered through the notes.,2,1
m,13,Every worker stretched during a break. He stumbled on the floor.,A worker stretched during a break. He stumbled on the floor.,2,1
