raw_response,sent1,sent2,frame,gender,comp,correct
2,The farmer didn't own a cow. It was just away on the meadow.,It was not the case that the farmer didn't own a cow. It was just away on the meadow.,0,NA,DNE>negation2_just,1
1,The farmer owned a cow. It was away on the meadow.,The farmer didn't own a cow. It was away on the meadow.,0,NA,existential>negation2,1
2,It was not the case that the farmer didn't own a cow. It was just away on the meadow.,The farmer owned a cow. It was away on the meadow.,0,NA,existential>DNE,1
1,"It was not the case that the farmer didn't own a cow. In fact, it was just away on the meadow.","The farmer didn't own a cow. In fact, it was just away on the meadow.",0,NA,DNE_infact>negation2_just_infact,1
2,"The farmer didn't own a cow. In fact, it was away on the meadow.","The farmer owned a cow. In fact, it was away on the meadow.",0,NA,existential_infact>negation2_infact,1
1,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.,The pirate didn't acquire a treasure. It was just hidden in the box.,1,NA,DNE>negation2_just,1
2,The pirate didn't acquire a treasure. It was hidden in the box.,The pirate acquired a treasure. It was hidden in the box.,1,NA,existential>negation2,1
2,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.,The pirate acquired a treasure. It was hidden in the box.,1,NA,existential>DNE,1
1,"It was not the case that the pirate didn't acquire a treasure. In fact, it was just hidden in the box.","The pirate didn't acquire a treasure. In fact, it was just hidden in the box.",1,NA,DNE_infact>negation2_just_infact,1
1,"The pirate acquired a treasure. In fact, it was hidden in the box.","The pirate didn't acquire a treasure. In fact, it was hidden in the box.",1,NA,existential_infact>negation2_infact,1
1,It was not the case that the kid didn't have a dog. It was just out for a walk.,The kid didn't have a dog. It was just out for a walk.,2,NA,DNE>negation2_just,1
1,The kid had a dog. It was out for a walk.,The kid didn't have a dog. It was out for a walk.,2,NA,existential>negation2,1
1,The kid had a dog. It was out for a walk.,It was not the case that the kid didn't have a dog. It was just out for a walk.,2,NA,existential>DNE,1
1,"It was not the case that the kid didn't have a dog. In fact, it was just out for a walk.","The kid didn't have a dog. In fact, it was just out for a walk.",2,NA,DNE_infact>negation2_just_infact,1
1,"The kid had a dog. In fact, it was out for a walk.","The kid didn't have a dog. In fact, it was out for a walk.",2,NA,existential_infact>negation2_infact,1
1,It was not the case that the student didn't discover a problem. It was just too hard to solve.,The student didn't discover a problem. It was just too hard to solve.,3,NA,DNE>negation2_just,1
2,The student didn't discover a problem. It was too hard to solve.,The student discovered a problem. It was too hard to solve.,3,NA,existential>negation2,1
1,The student discovered a problem. It was too hard to solve.,It was not the case that the student didn't discover a problem. It was just too hard to solve.,3,NA,existential>DNE,1
1,"It was not the case that the student didn't discover a problem. In fact, it was just too hard to solve.","The student didn't discover a problem. In fact, it was just too hard to solve.",3,NA,DNE_infact>negation2_just_infact,1
1,"The student discovered a problem. In fact, it was too hard to solve.","The student didn't discover a problem. In fact, it was too hard to solve.",3,NA,existential_infact>negation2_infact,1
1,It was not the case that the doctor didn't find a bone. It was just stored in formalin.,The doctor didn't find a bone. It was just stored in formalin.,4,NA,DNE>negation2_just,1
2,The doctor didn't find a bone. It was stored in formalin.,The doctor found a bone. It was stored in formalin.,4,NA,existential>negation2,1
1,The doctor found a bone. It was stored in formalin.,It was not the case that the doctor didn't find a bone. It was just stored in formalin.,4,NA,existential>DNE,1
1,"It was not the case that the doctor didn't find a bone. In fact, it was just stored in formalin.","The doctor didn't find a bone. In fact, it was just stored in formalin.",4,NA,DNE_infact>negation2_just_infact,1
1,"The doctor found a bone. In fact, it was stored in formalin.","The doctor didn't find a bone. In fact, it was stored in formalin.",4,NA,existential_infact>negation2_infact,1
1,The photographer didn't capture a moment. It was just gone in a flash.,It was not the case that the photographer didn't capture a moment. It was just gone in a flash.,5,NA,DNE>negation2_just,0
1,The photographer captured a moment. It was gone in a flash.,The photographer didn't capture a moment. It was gone in a flash.,5,NA,existential>negation2,1
2,It was not the case that the photographer didn't capture a moment. It was just gone in a flash.,The photographer captured a moment. It was gone in a flash.,5,NA,existential>DNE,1
1,"It was not the case that the photographer didn't capture a moment. In fact, it was just gone in a flash.","The photographer didn't capture a moment. In fact, it was just gone in a flash.",5,NA,DNE_infact>negation2_just_infact,1
2,"The photographer didn't capture a moment. In fact, it was gone in a flash.","The photographer captured a moment. In fact, it was gone in a flash.",5,NA,existential_infact>negation2_infact,1
2,The surgeon didn't detect a tumor. It was just spreading everywhere.,It was not the case that the surgeon didn't detect a tumor. It was just spreading everywhere.,6,NA,DNE>negation2_just,1
2,The surgeon didn't detect a tumor. It was spreading everywhere.,The surgeon detected a tumor. It was spreading everywhere.,6,NA,existential>negation2,1
2,It was not the case that the surgeon didn't detect a tumor. It was just spreading everywhere.,The surgeon detected a tumor. It was spreading everywhere.,6,NA,existential>DNE,1
