correct,effect_size,frame,gender,comp,subject,good_sent,bad_sent
1,0.6859638182862469,0,m,disjunction_eitheror>conjunction,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.11143340293716797,0,m,disjunction_or>conjunction,def,"There was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.5745304153490789,0,m,disjunction_eitheror>disjunction_or,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, or it was guarded by the dragon."
1,0.5521706145793921,0,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
0,-0.0223598007696868,0,m,disjunction_or>disjunction_eitheror_pos,def,"There was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
1,0.6859638182862469,0,f,disjunction_eitheror>conjunction,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.11143340293716797,0,f,disjunction_or>conjunction,def,"There was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.5745304153490789,0,f,disjunction_eitheror>disjunction_or,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, or it was guarded by the dragon."
1,0.5521706145793921,0,f,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
0,-0.0223598007696868,0,f,disjunction_or>disjunction_eitheror_pos,def,"There was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
1,0.8604363684732581,1,m,disjunction_eitheror>conjunction,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.3896156087705034,1,m,disjunction_or>conjunction,def,"There was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.4708207597027547,1,m,disjunction_eitheror>disjunction_or,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, or it was hidden by the librarian."
1,0.5357875499640077,1,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.06496679026125296,1,m,disjunction_or>disjunction_eitheror_pos,def,"There was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.8604363684732581,1,f,disjunction_eitheror>conjunction,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.3896156087705034,1,f,disjunction_or>conjunction,def,"There was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.4708207597027547,1,f,disjunction_eitheror>disjunction_or,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, or it was hidden by the librarian."
1,0.5357875499640077,1,f,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.06496679026125296,1,f,disjunction_or>disjunction_eitheror_pos,def,"There was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.7072685643019541,2,m,disjunction_eitheror>conjunction,def,"Either there was no painting, or it was stolen by the thief.","There was no painting, and it was stolen by the thief."
1,0.0006713046038369086,2,m,disjunction_or>conjunction,def,"There was no painting, or it was stolen by the thief.","There was no painting, and it was stolen by the thief."
1,0.7065972596981172,2,m,disjunction_eitheror>disjunction_or,def,"Either there was no painting, or it was stolen by the thief.","There was no painting, or it was stolen by the thief."
1,0.5329689345793924,2,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no painting, or it was stolen by the thief.","Either there was a painting, or it was stolen by the thief."
0,-0.17362832511872472,2,m,disjunction_or>disjunction_eitheror_pos,def,"There was no painting, or it was stolen by the thief.","Either there was a painting, or it was stolen by the thief."
1,0.7072685643019541,2,f,disjunction_eitheror>conjunction,def,"Either there was no painting, or it was stolen by the thief.","There was no painting, and it was stolen by the thief."
1,0.0006713046038369086,2,f,disjunction_or>conjunction,def,"There was no painting, or it was stolen by the thief.","There was no painting, and it was stolen by the thief."
1,0.7065972596981172,2,f,disjunction_eitheror>disjunction_or,def,"Either there was no painting, or it was stolen by the thief.","There was no painting, or it was stolen by the thief."
1,0.5329689345793924,2,f,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no painting, or it was stolen by the thief.","Either there was a painting, or it was stolen by the thief."
0,-0.17362832511872472,2,f,disjunction_or>disjunction_eitheror_pos,def,"There was no painting, or it was stolen by the thief.","Either there was a painting, or it was stolen by the thief."
1,0.5196503440689453,3,m,disjunction_eitheror>conjunction,def,"Either there was no weapon, or it was secured by the soldier.","There was no weapon, and it was secured by the soldier."
0,-0.03876576622949601,3,m,disjunction_or>conjunction,def,"There was no weapon, or it was secured by the soldier.","There was no weapon, and it was secured by the soldier."
1,0.5584161102984413,3,m,disjunction_eitheror>disjunction_or,def,"Either there was no weapon, or it was secured by the soldier.","There was no weapon, or it was secured by the soldier."
1,0.5999777338101611,3,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no weapon, or it was secured by the soldier.","Either there was a weapon, or it was secured by the soldier."
1,0.04156162351171977,3,m,disjunction_or>disjunction_eitheror_pos,def,"There was no weapon, or it was secured by the soldier.","Either there was a weapon, or it was secured by the soldier."
1,0.5196503440689453,3,f,disjunction_eitheror>conjunction,def,"Either there was no weapon, or it was secured by the soldier.","There was no weapon, and it was secured by the soldier."
0,-0.03876576622949601,3,f,disjunction_or>conjunction,def,"There was no weapon, or it was secured by the soldier.","There was no weapon, and it was secured by the soldier."
1,0.5584161102984413,3,f,disjunction_eitheror>disjunction_or,def,"Either there was no weapon, or it was secured by the soldier.","There was no weapon, or it was secured by the soldier."
1,0.5999777338101611,3,f,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no weapon, or it was secured by the soldier.","Either there was a weapon, or it was secured by the soldier."
1,0.04156162351171977,3,f,disjunction_or>disjunction_eitheror_pos,def,"There was no weapon, or it was secured by the soldier.","Either there was a weapon, or it was secured by the soldier."
1,0.3622772289945111,4,m,disjunction_eitheror>conjunction,def,"Either there was no flower, or it was planted by the gardener.","There was no flower, and it was planted by the gardener."
0,-0.08571227059645858,4,m,disjunction_or>conjunction,def,"There was no flower, or it was planted by the gardener.","There was no flower, and it was planted by the gardener."
1,0.4479894995909697,4,m,disjunction_eitheror>disjunction_or,def,"Either there was no flower, or it was planted by the gardener.","There was no flower, or it was planted by the gardener."
1,0.21573581160943567,4,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no flower, or it was planted by the gardener.","Either there was a flower, or it was planted by the gardener."
0,-0.232253687981534,4,m,disjunction_or>disjunction_eitheror_pos,def,"There was no flower, or it was planted by the gardener.","Either there was a flower, or it was planted by the gardener."
1,0.3622772289945111,4,f,disjunction_eitheror>conjunction,def,"Either there was no flower, or it was planted by the gardener.","There was no flower, and it was planted by the gardener."
0,-0.08571227059645858,4,f,disjunction_or>conjunction,def,"There was no flower, or it was planted by the gardener.","There was no flower, and it was planted by the gardener."
1,0.4479894995909697,4,f,disjunction_eitheror>disjunction_or,def,"Either there was no flower, or it was planted by the gardener.","There was no flower, or it was planted by the gardener."
