correct,effect_size,frame,gender,comp,subject,good_sent,bad_sent
0,-0.8163427800000029,0,NA,DNE>negation2_just,def,It was not the case that the farmer didn't own a cow. It was just away on the meadow.,The farmer didn't own a cow. It was just away on the meadow.
1,2.121961910000003,0,NA,existential>negation2,def,The farmer owned a cow. It was away on the meadow.,The farmer didn't own a cow. It was away on the meadow.
1,6.691708700000003,0,NA,existential>DNE,def,The farmer owned a cow. It was away on the meadow.,It was not the case that the farmer didn't own a cow. It was just away on the meadow.
1,2.655715504000007,0,NA,DNE_infact>negation2_just_infact,def,"It was not the case that the farmer didn't own a cow. In fact, it was just away on the meadow.","The farmer didn't own a cow. In fact, it was just away on the meadow."
1,0.9887053539999968,0,NA,existential_infact>negation2_infact,def,"The farmer owned a cow. In fact, it was away on the meadow.","The farmer didn't own a cow. In fact, it was away on the meadow."
1,1.7321860599999965,1,NA,DNE>negation2_just,def,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.,The pirate didn't acquire a treasure. It was just hidden in the box.
1,0.8983633600000012,1,NA,existential>negation2,def,The pirate acquired a treasure. It was hidden in the box.,The pirate didn't acquire a treasure. It was hidden in the box.
1,3.413410360000004,1,NA,existential>DNE,def,The pirate acquired a treasure. It was hidden in the box.,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.
1,2.275146470000003,1,NA,DNE_infact>negation2_just_infact,def,"It was not the case that the pirate didn't acquire a treasure. In fact, it was just hidden in the box.","The pirate didn't acquire a treasure. In fact, it was just hidden in the box."
0,-0.9766361899999971,1,NA,existential_infact>negation2_infact,def,"The pirate acquired a treasure. In fact, it was hidden in the box.","The pirate didn't acquire a treasure. In fact, it was hidden in the box."
0,-0.6634227400000015,2,NA,DNE>negation2_just,def,It was not the case that the kid didn't have a dog. It was just out for a walk.,The kid didn't have a dog. It was just out for a walk.
1,1.1586592100000033,2,NA,existential>negation2,def,The kid had a dog. It was out for a walk.,The kid didn't have a dog. It was out for a walk.
1,2.1920112100000004,2,NA,existential>DNE,def,The kid had a dog. It was out for a walk.,It was not the case that the kid didn't have a dog. It was just out for a walk.
1,1.9359015299999953,2,NA,DNE_infact>negation2_just_infact,def,"It was not the case that the kid didn't have a dog. In fact, it was just out for a walk.","The kid didn't have a dog. In fact, it was just out for a walk."
1,0.5511157500000046,2,NA,existential_infact>negation2_infact,def,"The kid had a dog. In fact, it was out for a walk.","The kid didn't have a dog. In fact, it was out for a walk."
1,2.9429887599999986,3,NA,DNE>negation2_just,def,It was not the case that the student didn't discover a problem. It was just too hard to solve.,The student didn't discover a problem. It was just too hard to solve.
