correct,effect_size,frame,gender,comp,subject,good_sent,bad_sent
1,0.7038556089272716,0,m,disjunction_eitheror>conjunction,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.2264180496038355,0,m,disjunction_or>conjunction,def,"There was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.4774375593234361,0,m,disjunction_eitheror>disjunction_or,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, or it was guarded by the dragon."
1,0.559418017656315,0,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
1,0.08198045833287892,0,m,disjunction_or>disjunction_eitheror_pos,def,"There was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
1,0.7038556089272716,0,f,disjunction_eitheror>conjunction,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.2264180496038355,0,f,disjunction_or>conjunction,def,"There was no treasure, or it was guarded by the dragon.","There was no treasure, and it was guarded by the dragon."
1,0.4774375593234361,0,f,disjunction_eitheror>disjunction_or,def,"Either there was no treasure, or it was guarded by the dragon.","There was no treasure, or it was guarded by the dragon."
1,0.559418017656315,0,f,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
1,0.08198045833287892,0,f,disjunction_or>disjunction_eitheror_pos,def,"There was no treasure, or it was guarded by the dragon.","Either there was a treasure, or it was guarded by the dragon."
1,0.7553255139860791,1,m,disjunction_eitheror>conjunction,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.2787562221038362,1,m,disjunction_or>conjunction,def,"There was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.47656929188224284,1,m,disjunction_eitheror>disjunction_or,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, or it was hidden by the librarian."
1,0.5835366530409312,1,m,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.10696736115868832,1,m,disjunction_or>disjunction_eitheror_pos,def,"There was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.7553255139860791,1,f,disjunction_eitheror>conjunction,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.2787562221038362,1,f,disjunction_or>conjunction,def,"There was no manuscript, or it was hidden by the librarian.","There was no manuscript, and it was hidden by the librarian."
1,0.47656929188224284,1,f,disjunction_eitheror>disjunction_or,def,"Either there was no manuscript, or it was hidden by the librarian.","There was no manuscript, or it was hidden by the librarian."
1,0.5835366530409312,1,f,disjunction_eitheror>disjunction_eitheror_pos,def,"Either there was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.10696736115868832,1,f,disjunction_or>disjunction_eitheror_pos,def,"There was no manuscript, or it was hidden by the librarian.","Either there was a manuscript, or it was hidden by the librarian."
1,0.9238107636609274,2,m,disjunction_eitheror>conjunction,def,"Either there was no painting, or it was stolen by the thief.","There was no painting, and it was stolen by the thief."
1,0.2514628462705031,2,m,disjunction_or>conjunction,def,"There was no painting, or it was stolen by the thief.","There was no painting, and it was stolen by the thief."
