verb2,verb1,noun1,noun2,predicate,alt_verb,continuation1
feed,own,farmer,cow,away on the meadow,lack,"['big', 'healthy', 'brown', 'black', 'young']"
keep,acquire,pirate,treasure,hidden in the box,lose,"['hidden', 'ancient', 'valuable', 'mysterious', 'lost']"
walk,have,kid,dog,out for a walk,overlook,"['friendly', 'big', 'small', 'cute', 'brown']"
solve,discover,student,problem,too hard to solve,overlook,"['challenging', 'complex', 'difficult', 'interesting', 'significant']"
brush,find,doctor,bone,stored in formalin,lose,"['broken', 'human', 'ancient', 'large', 'small']"
witness,capture,photographer,moment,gone in a flash,"ignore, miss","['unique', 'magical', 'intense', 'emotional', 'powerful']"
remove,detect,surgeon,tumor,spreading everywhere,bypass,"['large', 'small', 'aggressive', 'suspicious', 'unusual']"
correct,observe,editor,mistake,negligible,"neglect, miss","['obvious', 'minor', 'significant', 'simple', 'common']"
water,plant,chef,tomato,not ripe yet,wither,"['red', 'fresh', 'organic', 'large', 'small']"
shoot,spot,hunter,deer,difficult to shoot,miss,"['brown', 'wild', 'young', 'large', 'quiet']"
receive,throw,player,ball,missed by the catcher,"miss, reject","['round', 'heavy', 'light', 'small', 'large']"
check,stop,police,car,slowing down already,release,"['suspicious', 'expensive', 'old', 'new', 'foreign']"
implement,propose,researcher,idea,scooped by others,"deny, reject","['innovative', 'novel', 'compelling', 'ambitious', 'controversial']"
paint,build,worker,chair,not finished yet,demolish,"['comfortable', 'wooden', 'modern', 'elegant', 'affordable']"
doubt,discuss,teacher,argument,hard to unpack,accept,"['weak', 'valid', 'strong', 'logical', 'reasonable']"
wash,buy,customer,shirt,sent for tailoring,forego,"['red', 'blue', 'comfortable', 'expensive', 'cheap']"
break,claim,athlete,record,unofficial,miss,"['remarkable', 'impressive', 'unexpected', 'historic', 'significant']"
promote,write,professor,book,unpublished,defame,"['comprehensive', 'detailed', 'fascinating', 'accessible', 'educational']"
drink,order,administrator,coffee,on its way,skip,"['hot', 'cold', 'strong', 'black', 'fresh']"
wipe,spill,server,drink,wiped up quickly,retain,"['cold', 'hot', 'sweet', 'bitter', 'warm']"
distribute,produce,director,film,still in editing,slander,"['creative', 'successful', 'innovative', 'ambitious', 'independent']"
love,make,designer,bag,a prototype,ruin,"['elegant', 'unique', 'functional', 'practical', 'innovative']"
tour,document,traveler,country,full of stories,avoid,"['beautiful', 'vast', 'fascinating', 'diverse', 'historic']"
fix,identify,developer,bug,tricky to fix,neglect,"['critical', 'minor', 'complex', 'mysterious', 'severe']"
test,develop,manufacturer,product,in testing,abandon,"['innovative', 'new', 'reliable', 'affordable', 'sustainable']"
oversee,launch,manager,project,delayed,"cancel, withdraw","['ambitious', 'innovative', 'successful', 'challenging', 'complex']"
teach,prepare,instructor,course,not published,disregard,"['challenging', 'comprehensive', 'innovative', 'practical', 'detailed']"
investigate,accept,lawyer,case,complicated,reject,"['complex', 'challenging', 'controversial', 'difficult', 'sensitive']"
destroy,invade,warrior,castle,heavily guarded,"leave, vacate","['ancient', 'massive', 'mysterious', 'vast', 'grand']"
manage,found,entrepreneur,company,closed,dissolve,"['innovative', 'successful', 'new', 'small', 'large']"
land,fly,pilot,helicopter,grounded for now,crash,"['complex', 'advanced', 'powerful', 'fast', 'reliable']"
race,raise,rider,horse,still a foal,release,"['powerful', 'strong', 'loyal', 'gentle', 'wild']"
