verb1,verb2,noun1,noun2,continuation1,continuation2_would,continuation2_should
own,beat,farmer,cow,"['big', 'healthy', 'brown', 'black', 'young']","['feed', 'sell', 'clean', 'protect', 'tend']","['feed', 'protect', 'appreciate', 'value', 'respect']"
acquire,keep,pirate,treasure,"['hidden', 'ancient', 'valuable', 'mysterious', 'lost']","['hide', 'bury', 'guard', 'protect', 'spend']","['share', 'hide', 'bury', 'protect', 'donate']"
see,chase,kid,dog,"['friendly', 'big', 'small', 'cute', 'brown']","['hug', 'feed', 'name', 'watch', 'follow']","['approach', 'observe', 'admire', 'greet', 'respect']"
discover,solve,student,problem,"['challenging', 'complex', 'difficult', 'interesting', 'significant']","['address', 'report', 'document', 'analyze', 'fix']","['address', 'report', 'analyze', 'document', 'discuss']"
find,brush,doctor,bone,"['broken', 'human', 'ancient', 'large', 'small']","['examine', 'study', 'analyze', 'clean', 'document']","['examine', 'analyze', 'study', 'assess', 'evaluate']"
witness,capture,photographer,moment,"['unique', 'magical', 'intense', 'emotional', 'powerful']","['share', 'document', 'frame', 'preserve', 'record']","['appreciate', 'remember', 'admire', 'embrace', 'respect']"
detect,remove,surgeon,tumor,"['large', 'small', 'aggressive', 'suspicious', 'unusual']","['analyze', 'examine', 'study', 'test', 'evaluate']","['analyze', 'examine', 'monitor', 'study', 'assess']"
observe,correct,editor,mistake,"['obvious', 'minor', 'significant', 'simple', 'common']","['note', 'highlight', 'address', 'mention', 'report']","['highlight', 'note', 'document', 'report', 'address']"
grow,cook,chef,tomato,"['red', 'fresh', 'organic', 'large', 'small']","['slice', 'chop', 'bake', 'blend', 'preserve']","['consider', 'taste', 'preserve', 'sell', 'donate']"
spot,shoot,hunter,deer,"['brown', 'wild', 'young', 'large', 'quiet']","['track', 'chase', 'catch', 'pursue', 'clean']","['observe', 'track', 'admire', 'follow', 'photograph']"
receive,throw,player,ball,"['round', 'heavy', 'light', 'small', 'large']","['kick', 'catch', 'pass', 'toss', 'bounce']","['pass', 'kick', 'catch', 'hold', 'keep']"
stop,check,police,car,"['suspicious', 'expensive', 'old', 'new', 'foreign']","['search', 'examine', 'investigate', 'assess', 'review']","['search', 'examine', 'seize', 'photograph', 'document']"
propose,implement,researcher,idea,"['innovative', 'novel', 'compelling', 'ambitious', 'controversial']","['evaluate', 'test', 'analyze', 'study', 'examine']","['evaluate', 'test', 'examine', 'assess', 'analyze']"
build,paint,worker,chair,"['comfortable', 'wooden', 'modern', 'elegant', 'affordable']","['assemble', 'test', 'seal', 'clean', 'repair']","['seal', 'carve', 'assemble', 'reinforce', 'repair']"
doubt,discuss,teacher,argument,"['weak', 'valid', 'strong', 'logical', 'reasonable']","['question', 'analyze', 'review', 'challenge', 'evaluate']","['analyze', 'question', 'investigate', 'challenge', 'evaluate']"
buy,wash,customer,shirt,"['red', 'blue', 'comfortable', 'expensive', 'cheap']","['wear', 'fold', 'dry', 'return', 'exchange']","['return', 'exchange', 'donate', 'sell', 'alter']"
