frame,gender,sent,subject,sentence_type,tokens,logprobs
0,NA,It was not the case that the farmer didn't own a cow. It was just away on the meadow.,def,DNE,It| was| not| the| case| that| the| farmer| didn|'t| own| a| cow|.| It| was| just| away| on| the| me|adow|.,"[-2.3792396, -3.646462, -2.5976014, -4.041338, -1.7117422, -1.5121084, -8.659195, -5.259375, -0.6788015, -4.443551, -3.1392596, -4.2844343, -1.21966, -2.498073, -0.3853179, -2.3961077, -11.206837, -2.3385234, -1.6514652, -8.383417, -0.40103608, -1.560187]"
0,NA,"It was not the case that the farmer didn't own a cow. In fact, it was just away on the meadow.",def,DNE_infact,"It| was| not| the| case| that| the| farmer| didn|'t| own| a| cow|.| In| fact|,| it| was| just| away| on| the| me|adow|.","[-2.3792396, -3.646462, -2.5976014, -4.041338, -1.7117422, -1.5121084, -8.659195, -5.259375, -0.6788015, -4.443551, -3.1392596, -4.2844343, -1.21966, -3.322372, -0.5408453, -0.10240215, -3.1916456, -0.3655767, -3.7024078, -10.939801, -2.302835, -1.8026843, -7.625655, -0.38815105, -1.5727596]"
0,NA,The farmer didn't own a cow. It was away on the meadow.,def,negation2,The| farmer| didn|'t| own| a| cow|.| It| was| away| on| the| me|adow|.,"[-10.141602, -5.374918, -0.85907537, -5.995845, -1.4309196, -4.160294, -1.7103901, -3.988574, -0.4588418, -10.189224, -1.6494516, -2.1761723, -6.1113834, -0.23517479, -1.4423956]"
0,NA,"The farmer didn't own a cow. In fact, it was away on the meadow.",def,negation2_infact,"The| farmer| didn|'t| own| a| cow|.| In| fact|,| it| was| away| on| the| me|adow|.","[-10.141305, -5.375189, -0.85938954, -5.9944673, -1.4324808, -4.1595325, -1.7104149, -4.6216803, -0.8487989, -0.088918634, -3.956681, -0.56150573, -11.249093, -1.6816223, -2.59886, -7.176517, -0.3199563, -1.8783357]"
0,NA,The farmer didn't own a cow. It was just away on the meadow.,def,negation2_just,The| farmer| didn|'t| own| a| cow|.| It| was| just| away| on| the| me|adow|.,"[-10.141305, -5.375189, -0.85938954, -5.9944673, -1.4324808, -4.1595325, -1.7104149, -3.9893942, -0.45891607, -2.8462906, -9.816388, -2.318968, -2.1296027, -6.9054046, -0.23166943, -1.3079879]"
0,NA,"The farmer didn't own a cow. In fact, it was just away on the meadow.",def,negation2_just_infact,"The| farmer| didn|'t| own| a| cow|.| In| fact|,| it| was| just| away| on| the| me|adow|.","[-10.141305, -5.375189, -0.85938954, -5.9944673, -1.4324808, -4.1595325, -1.7104149, -4.6216803, -0.8487989, -0.088918634, -3.956681, -0.56150573, -3.8911521, -10.5918045, -2.3241935, -2.543462, -7.208599, -0.30980024, -1.5662551]"
0,NA,The farmer owned a cow. It was away on the meadow.,def,existential,The| farmer| owned| a| cow|.| It| was| away| on| the| me|adow|.,"[-10.141602, -6.865816, -2.5034318, -4.192321, -1.7416211, -2.897089, -0.7728766, -9.813879, -2.3841977, -1.9271122, -4.6050386, -0.17535128, -1.5537112]"
0,NA,"The farmer owned a cow. In fact, it was away on the meadow.",def,existential_infact,"The| farmer| owned| a| cow|.| In| fact|,| it| was| away| on| the| me|adow|.","[-10.141305, -6.8654814, -2.5037234, -4.1921725, -1.7406284, -4.5609264, -3.1586726, -0.26876736, -2.1247053, -0.14730126, -12.520262, -2.0526164, -1.605782, -5.281976, -0.19503759, -2.0772166]"
1,NA,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.,def,DNE,It| was| not| the| case| that| the| pirate| didn|'t| acquire| a| treasure|.| It| was| just| hidden| in| the| box|.,"[-2.3792396, -3.646462, -2.5976014, -4.041338, -1.7117422, -1.5121084, -11.067553, -6.5168505, -0.527548, -8.421498, -2.232511, -7.522586, -2.190335, -2.1654558, -0.3833172, -2.9412131, -5.9817038, -1.7609333, -1.1939908, -6.4020834, -1.1042084]"
1,NA,"It was not the case that the pirate didn't acquire a treasure. In fact, it was just hidden in the box.",def,DNE_infact,"It| was| not| the| case| that| the| pirate| didn|'t| acquire| a| treasure|.| In| fact|,| it| was| just| hidden| in| the| box|.","[-2.3792396, -3.646462, -2.5976014, -4.041338, -1.7117422, -1.5121084, -11.067553, -6.5168505, -0.527548, -8.421498, -2.232511, -7.522586, -2.190335, -3.5189915, -0.7280034, -0.13297649, -2.307395, -0.59300345, -3.8329682, -7.4183865, -1.3354067, -1.0859944, -6.220072, -1.0212957]"
