frame,pred,subj,gender,cont,scope,sent,sentence_type,tokens,logprobs
0,0,name,m,he,inScope,"If John owns a cow, he beats it and also feeds it.",if,"If| John| owns| a| cow|,| he| beats| it| and| also| feeds| it|.","[-9.499283, -10.132792, -1.533824, -6.8239784, -0.77208364, -1.7393736, -9.077915, -1.4186865, -3.2524953, -7.0401134, -5.155444, -0.12687318, -1.4841064]"
0,0,name,m,he,outScope,"If John owns a cow, he beats it. He also feeds it.",if,"If| John| owns| a| cow|,| he| beats| it|.| He| also| feeds| it|.","[-9.499283, -10.132792, -1.533824, -6.8239784, -0.77208364, -1.7393736, -9.077915, -1.4186865, -2.14016, -2.5180774, -3.7794523, -5.5881433, -0.21951297, -1.4558647]"
0,0,name,m,he,inScope,"Whenever John owns a cow, he beats it and also feeds it.",whenever,"Whenever| John| owns| a| cow|,| he| beats| it| and| also| feeds| it|.","[-9.877492, -9.737647, -1.6091758, -7.43137, -0.79426736, -1.0037336, -6.990124, -1.1463891, -3.036065, -6.708459, -5.2501607, -0.14208013, -2.6843195]"
0,0,name,m,he,outScope,"Whenever John owns a cow, he beats it. He also feeds it.",whenever,"Whenever| John| owns| a| cow|,| he| beats| it|.| He| also| feeds| it|.","[-9.877492, -9.737647, -1.6091758, -7.43137, -0.79426736, -1.0037336, -6.990124, -1.1463891, -2.4214573, -1.9560091, -3.9817882, -5.96072, -0.40645328, -2.8895683]"
0,0,name,m,he,inScope,Every farmer who owns a cow beats it and also feeds it.,every,Every| farmer| who| owns| a| cow| beats| it| and| also| feeds| it|.,"[-10.915541, -3.4234219, -3.8335013, -0.8169396, -2.7328649, -11.6371155, -3.1242967, -3.1472695, -7.036545, -4.474197, -0.19851452, -2.2521782]"
0,0,name,m,he,outScope,Every farmer who owns a cow beats it. He also feeds it.,every,Every| farmer| who| owns| a| cow| beats| it|.| He| also| feeds| it|.,"[-10.915541, -3.4234219, -3.8335013, -0.8169396, -2.7328649, -11.6371155, -3.1242967, -2.4149888, -3.4697297, -4.955369, -4.12918, -0.21207005, -1.7772146]"
0,0,name,m,he,inScope,"John owns a cow, and he beats it and also feeds it.",existential,"John| owns| a| cow|,| and| he| beats| it| and| also| feeds| it|.","[-10.588722, -1.2845528, -8.169321, -1.8789113, -1.916913, -1.8296975, -8.062322, -1.0079094, -3.6562624, -7.329029, -5.0244966, -0.08975675, -1.8447037]"
0,0,name,m,he,outScope,"John owns a cow, and he beats it. He also feeds it.",existential,"John| owns| a| cow|,| and| he| beats| it|.| He| also| feeds| it|.","[-10.588722, -1.2845528, -8.169321, -1.8789113, -1.916913, -1.8296975, -8.062322, -1.0079094, -2.1358948, -1.4348586, -2.9917572, -4.986472, -0.24542387, -2.3408036]"
0,0,name,m,it,inScope,"If John owns a cow, he beats it and it is a big one.",if,"If| John| owns| a| cow|,| he| beats| it| and| it| is| a| big| one|.","[-9.499283, -10.132792, -1.533824, -6.8239784, -0.77208364, -1.7393736, -9.077915, -1.4186865, -3.2524953, -3.018253, -3.1729603, -2.536497, -5.138899, -5.0116134, -0.8660757]"
0,0,name,m,it,outScope,"If John owns a cow, he beats it. It is a big one.",if,"If| John| owns| a| cow|,| he| beats| it|.| It| is| a| big| one|.","[-9.499283, -10.132792, -1.533824, -6.8239784, -0.77208364, -1.7393736, -9.077915, -1.4186865, -2.14016, -3.69492, -1.8536317, -2.1646736, -6.5169907, -5.863844, -1.1084795]"
0,0,name,m,it,inScope,"Whenever John owns a cow, he beats it and it is a big one.",whenever,"Whenever| John| owns| a| cow|,| he| beats| it| and| it| is| a| big| one|.","[-9.877492, -9.737647, -1.6091758, -7.43137, -0.79426736, -1.0037336, -6.990124, -1.1463891, -3.036065, -3.5852375, -3.470636, -2.6400588, -4.258913, -4.7256775, -0.9343118]"
0,0,name,m,it,outScope,"Whenever John owns a cow, he beats it. It is a big one.",whenever,"Whenever| John| owns| a| cow|,| he| beats| it|.| It| is| a| big| one|.","[-9.877492, -9.737647, -1.6091758, -7.43137, -0.79426736, -1.0037336, -6.990124, -1.1463891, -2.4214573, -3.6473906, -2.0562258, -1.9748163, -5.794558, -4.785078, -1.2684337]"
