frame,pred,subj,gender,cont,scope,sent,sentence_type,tokens,logprobs
0,0,name,m,he,inScope,"If John owns a cow, he beats it and also feeds it.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-9.352673530578613, -8.686269760131836, -0.8869571089744568, -5.970534324645996, -0.8579620122909546, -1.4523338079452515, -8.887754440307617, -0.7050674557685852, -2.455662727355957, -7.414639472961426, -3.057776927947998, -0.14861048758029938, -1.0171141624450684]"
0,0,name,m,he,outScope,"If John owns a cow, he beats it. He also feeds it.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-9.352673530578613, -8.686269760131836, -0.8869571089744568, -5.970534324645996, -0.8579620122909546, -1.4523338079452515, -8.887754440307617, -0.7050674557685852, -1.8355873823165894, -3.0619938373565674, -4.21712064743042, -5.414154529571533, -0.21877017617225647, -1.2139781713485718]"
0,0,name,m,he,inScope,"Whenever John owns a cow, he beats it and also feeds it.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-9.509696960449219, -9.572681427001953, -1.1898670196533203, -5.752606391906738, -0.9334322214126587, -0.9493505954742432, -7.6471757888793945, -0.7258839011192322, -2.253157615661621, -7.501157760620117, -3.4061455726623535, -0.12122643738985062, -1.2692151069641113]"
0,0,name,m,he,outScope,"Whenever John owns a cow, he beats it. He also feeds it.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-9.509696960449219, -9.572681427001953, -1.1898670196533203, -5.752606391906738, -0.9334322214126587, -0.9493505954742432, -7.6471757888793945, -0.7258839011192322, -1.8504743576049805, -2.5943543910980225, -4.173482418060303, -5.994503974914551, -0.22318322956562042, -1.4973556995391846]"
0,0,name,m,he,inScope,"John owns a cow, and he beats it and also feeds it.",existential,"John|Ġowns|Ġa|Ġcow|,|Ġand|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-11.025376319885254, -2.4404795169830322, -8.378657341003418, -2.1282176971435547, -1.3543368577957153, -2.0741093158721924, -8.16021728515625, -1.5496878623962402, -3.1230978965759277, -6.944729328155518, -3.451860189437866, -0.1536504626274109, -1.122518539428711]"
0,0,name,m,he,outScope,"John owns a cow, and he beats it. He also feeds it.",existential,"John|Ġowns|Ġa|Ġcow|,|Ġand|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-11.025376319885254, -2.4404795169830322, -8.378657341003418, -2.1282176971435547, -1.3543368577957153, -2.0741093158721924, -8.16021728515625, -1.5496878623962402, -1.76100492477417, -1.8146306276321411, -3.766008138656616, -5.112579345703125, -0.3759428560733795, -1.316452145576477]"
0,0,name,m,it,inScope,"If John owns a cow, he beats it and it is a big one.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.","[-9.35267448425293, -8.686273574829102, -0.8869619369506836, -5.9705352783203125, -0.8579615354537964, -1.4523340463638306, -8.8877534866333, -0.7050682902336121, -2.4556617736816406, -3.7145745754241943, -3.151919364929199, -2.928297996520996, -5.1562180519104, -5.803791046142578, -0.9046356678009033]"
0,0,name,m,it,outScope,"If John owns a cow, he beats it. It is a big one.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.","[-9.35267448425293, -8.686273574829102, -0.8869619369506836, -5.9705352783203125, -0.8579615354537964, -1.4523340463638306, -8.8877534866333, -0.7050682902336121, -1.8355865478515625, -4.533241271972656, -1.189742922782898, -2.156460762023926, -6.2271881103515625, -6.4664201736450195, -0.979384183883667]"
0,0,name,m,it,inScope,"Whenever John owns a cow, he beats it and it is a big one.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.","[-9.509696960449219, -9.572680473327637, -1.1898670196533203, -5.75260066986084, -0.9334300756454468, -0.9493476152420044, -7.6471757888793945, -0.7258827686309814, -2.2531604766845703, -3.7411019802093506, -3.3278768062591553, -3.0440194606781006, -5.231861114501953, -6.229315757751465, -1.1679054498672485]"
0,0,name,m,it,outScope,"Whenever John owns a cow, he beats it. It is a big one.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.","[-9.509696960449219, -9.572680473327637, -1.1898670196533203, -5.75260066986084, -0.9334300756454468, -0.9493476152420044, -7.6471757888793945, -0.7258827686309814, -1.8504713773727417, -4.081265449523926, -1.1848615407943726, -2.29610013961792, -6.06735897064209, -6.766152381896973, -1.1838425397872925]"
