frame,gender,sent,subject,sentence_type,tokens,logprobs,slor_nofirst
0,m,"Either there was no treasure, or it was guarded by the dragon.",def,disjunction_eitheror,"Either| there| was| no| treasure|,| or| it| was| guarded| by| the| dragon|.","[-5.833662, -2.6940677, -1.6776521, -10.010895, -1.4926156, -0.24305959, -1.7108757, -0.5677995, -5.7307634, -0.48836464, -2.531796, -3.7311904, -1.3632059]",3.8094573363820032
0,m,"Either there was a treasure, or it was guarded by the dragon.",def,disjunction_eitheror_pos,"Either| there| was| a| treasure|,| or| it| was| guarded| by| the| dragon|.","[-5.833662, -2.6940677, -1.0582054, -10.319464, -2.8500545, -0.5799219, -2.8411825, -0.42766407, -7.7620835, -0.38521767, -2.6784477, -3.9125235, -1.1758108]",3.250039318725688
0,m,"There was no treasure, or it was guarded by the dragon.",def,disjunction_or,"There| was| no| treasure|,| or| it| was| guarded| by| the| dragon|.","[-2.7996643, -1.9612105, -10.73207, -2.3075943, -3.8605828, -3.972334, -0.81041044, -6.362851, -0.671775, -2.2735853, -3.691271, -1.4884048]",3.332019777058567
0,m,"There was no treasure, and it was guarded by the dragon.",def,conjunction,"There| was| no| treasure|,| and| it| was| guarded| by| the| dragon|.","[-2.7996643, -1.9612105, -10.73207, -2.3075943, -2.9234347, -3.3088865, -0.6438109, -8.742785, -0.31502283, -2.4023087, -3.9101102, -1.5998135]",3.1056017274547316
0,f,"Either there was no treasure, or it was guarded by the dragon.",def,disjunction_eitheror,"Either| there| was| no| treasure|,| or| it| was| guarded| by| the| dragon|.","[-5.833662, -2.6940677, -1.6776521, -10.010895, -1.4926156, -0.24305959, -1.7108757, -0.5677995, -5.7307634, -0.48836464, -2.531796, -3.7311904, -1.3632059]",3.8094573363820032
0,f,"Either there was a treasure, or it was guarded by the dragon.",def,disjunction_eitheror_pos,"Either| there| was| a| treasure|,| or| it| was| guarded| by| the| dragon|.","[-5.833662, -2.6940677, -1.0582054, -10.319464, -2.8500545, -0.5799219, -2.8411825, -0.42766407, -7.7620835, -0.38521767, -2.6784477, -3.9125235, -1.1758108]",3.250039318725688
0,f,"There was no treasure, or it was guarded by the dragon.",def,disjunction_or,"There| was| no| treasure|,| or| it| was| guarded| by| the| dragon|.","[-2.7996643, -1.9612105, -10.73207, -2.3075943, -3.8605828, -3.972334, -0.81041044, -6.362851, -0.671775, -2.2735853, -3.691271, -1.4884048]",3.332019777058567
0,f,"There was no treasure, and it was guarded by the dragon.",def,conjunction,"There| was| no| treasure|,| and| it| was| guarded| by| the| dragon|.","[-2.7996643, -1.9612105, -10.73207, -2.3075943, -2.9234347, -3.3088865, -0.6438109, -8.742785, -0.31502283, -2.4023087, -3.9101102, -1.5998135]",3.1056017274547316
1,m,"Either there was no manuscript, or it was hidden by the librarian.",def,disjunction_eitheror,"Either| there| was| no| manuscript|,| or| it| was| hidden| by| the| librarian|.","[-5.833662, -2.6940677, -1.6776521, -10.888916, -1.7021142, -0.31098554, -1.5252379, -0.4560784, -5.205161, -2.7159488, -0.9601867, -6.6333075, -1.7312368]",3.4754488956763243
1,m,"Either there was a manuscript, or it was hidden by the librarian.",def,disjunction_eitheror_pos,"Either| there| was| a| manuscript|,| or| it| was| hidden| by| the| librarian|.","[-5.833662, -2.6940677, -1.0582054, -10.199748, -2.6141403, -0.55767417, -2.6101973, -0.48263624, -8.112236, -2.932867, -0.9467135, -7.380781, -1.667526]",2.891912242635393
