frame,gender,sent,sentence_type,scope,tokens,logprobs
0,m,A farmer worked in the field before he dreamed of the harvest.,ext,inScope,A| farmer| worked| in| the| field| before| he| dreamed| of| the| harvest|.,"[-10.965077, -8.552426, -2.127904, -0.95972675, -1.4672161, -6.456711, -2.6738043, -8.558946, -0.9636039, -2.4937232, -6.028241, -1.2282709]"
0,m,A farmer worked in the field. He dreamed of the harvest.,ext,outScope,A| farmer| worked| in| the| field|.| He| dreamed| of| the| harvest|.,"[-10.965077, -8.552426, -2.127904, -0.95972675, -1.4672161, -2.2334383, -1.2796912, -7.553664, -0.5898882, -2.6719587, -4.2777557, -1.2157617]"
0,m,Every farmer worked in the field before he dreamed of the harvest.,uni,inScope,Every| farmer| worked| in| the| field| before| he| dreamed| of| the| harvest|.,"[-10.915002, -8.639566, -2.8651109, -1.1317517, -1.6110889, -6.6978645, -3.0102925, -8.411594, -0.3674849, -2.4270985, -4.2669554, -0.9535541]"
0,m,Every farmer worked in the field. He dreamed of the harvest.,uni,outScope,Every| farmer| worked| in| the| field|.| He| dreamed| of| the| harvest|.,"[-10.915002, -8.639566, -2.8651109, -1.1317517, -1.6110889, -2.1085217, -3.152292, -7.37271, -0.39341667, -1.8089889, -3.244019, -1.2598023]"
0,m,No farmer worked in the field before he dreamed of the harvest.,no,inScope,No| farmer| worked| in| the| field| before| he| dreamed| of| the| harvest|.,"[-13.116762, -9.594614, -2.5844693, -1.171264, -2.0113568, -4.681517, -2.7175345, -7.823961, -0.6729181, -2.3886032, -4.5353985, -1.2381917]"
0,m,No farmer worked in the field. He dreamed of the harvest.,no,outScope,No| farmer| worked| in| the| field|.| He| dreamed| of| the| harvest|.,"[-13.116762, -9.594614, -2.5844693, -1.171264, -2.0113568, -2.718361, -2.0889163, -8.463081, -0.64708334, -1.805537, -4.091832, -1.2461307]"
0,f,A farmer worked in the field before she dreamed of the harvest.,ext,inScope,A| farmer| worked| in| the| field| before| she| dreamed| of| the| harvest|.,"[-10.965077, -8.552426, -2.127904, -0.95972675, -1.4672161, -6.456711, -4.496312, -8.399559, -0.9417212, -2.4920402, -6.2730045, -1.534477]"
0,f,A farmer worked in the field. She dreamed of the harvest.,ext,outScope,A| farmer| worked| in| the| field|.| She| dreamed| of| the| harvest|.,"[-10.965077, -8.552426, -2.127904, -0.95972675, -1.4672161, -2.2334383, -3.5307155, -7.4515123, -0.48326176, -2.546207, -4.1124716, -1.2831606]"
0,f,Every farmer worked in the field before she dreamed of the harvest.,uni,inScope,Every| farmer| worked| in| the| field| before| she| dreamed| of| the| harvest|.,"[-10.915002, -8.639566, -2.8651109, -1.1317517, -1.6110889, -6.6978645, -5.1546793, -7.95399, -0.33643326, -2.4667647, -4.8947754, -1.0315318]"
0,f,Every farmer worked in the field. She dreamed of the harvest.,uni,outScope,Every| farmer| worked| in| the| field|.| She| dreamed| of| the| harvest|.,"[-10.915002, -8.639566, -2.8651109, -1.1317517, -1.6110889, -2.1085217, -5.02131, -7.4491415, -0.2811194, -2.144419, -4.774942, -1.4717829]"
0,f,No farmer worked in the field before she dreamed of the harvest.,no,inScope,No| farmer| worked| in| the| field| before| she| dreamed| of| the| harvest|.,"[-13.116762, -9.594614, -2.5844693, -1.171264, -2.0113568, -4.681517, -4.995807, -8.022516, -0.6310455, -2.7979648, -5.459703, -1.4130172]"
0,f,No farmer worked in the field. She dreamed of the harvest.,no,outScope,No| farmer| worked| in| the| field|.| She| dreamed| of| the| harvest|.,"[-13.116762, -9.594614, -2.5844693, -1.171264, -2.0113568, -2.718361, -4.7547135, -8.187704, -0.4525847, -2.052683, -5.3544083, -1.513835]"
0,p,A farmer worked in the field before they dreamed of the harvest.,ext,inScope,A| farmer| worked| in| the| field| before| they| dreamed| of| the| harvest|.,"[-10.965077, -8.552426, -2.127904, -0.95972675, -1.4672161, -6.456711, -4.7906427, -10.023384, -0.80210745, -2.5576284, -5.8429217, -1.1108738]"
0,p,A farmer worked in the field. They dreamed of the harvest.,ext,outScope,A| farmer| worked| in| the| field|.| They| dreamed| of| the| harvest|.,"[-10.965077, -8.552426, -2.127904, -0.95972675, -1.4672161, -2.2334383, -4.993359, -8.841661, -0.4216505, -2.3597627, -4.0975366, -1.2112273]"
