frame,gender,sent,subject,sentence_type,tokens,logprobs
0,NA,It was not the case that the farmer didn't own a cow. It was just away on the meadow.,def,DNE,It|Ġwas|Ġnot|Ġthe|Ġcase|Ġthat|Ġthe|Ġfarmer|Ġdidn|'t|Ġown|Ġa|Ġcow|.|ĠIt|Ġwas|Ġjust|Ġaway|Ġon|Ġthe|Ġme|adow|.,"[-5.6051836013793945, -2.86855149269104, -2.6248669624328613, -3.8919975757598877, -0.7436239719390869, -1.391089677810669, -8.680912017822266, -6.617971420288086, -0.7096914649009705, -4.376594543457031, -2.664710521697998, -3.2678909301757812, -1.2383233308792114, -1.6804550886154175, -0.20374183356761932, -2.8301212787628174, -12.453701972961426, -1.8646728992462158, -2.552490234375, -6.721302032470703, -0.08000236004590988, -1.6351416110992432]"
0,NA,"It was not the case that the farmer didn't own a cow. In fact, it was just away on the meadow.",def,DNE_infact,"It|Ġwas|Ġnot|Ġthe|Ġcase|Ġthat|Ġthe|Ġfarmer|Ġdidn|'t|Ġown|Ġa|Ġcow|.|ĠIn|Ġfact|,|Ġit|Ġwas|Ġjust|Ġaway|Ġon|Ġthe|Ġme|adow|.","[-5.605180740356445, -2.8685569763183594, -2.6248621940612793, -3.8920021057128906, -0.7436231970787048, -1.3910928964614868, -8.680910110473633, -6.617985248565674, -0.709685742855072, -4.376603126525879, -2.6647229194641113, -3.2678940296173096, -1.2383252382278442, -3.5659098625183105, -0.6824849843978882, -0.24506919085979462, -2.8092405796051025, -0.31156840920448303, -3.9565587043762207, -11.783942222595215, -2.0230464935302734, -2.6187314987182617, -6.25912618637085, -0.0945250615477562, -1.4239994287490845]"
0,NA,The farmer didn't own a cow. It was away on the meadow.,def,negation2,The|Ġfarmer|Ġdidn|'t|Ġown|Ġa|Ġcow|.|ĠIt|Ġwas|Ġaway|Ġon|Ġthe|Ġme|adow|.,"[-11.495306015014648, -5.914914131164551, -0.8159052729606628, -5.521295547485352, -1.278409719467163, -4.172316551208496, -1.6761430501937866, -4.123918533325195, -0.6942691206932068, -9.825878143310547, -1.6797364950180054, -2.5292391777038574, -6.5096049308776855, -0.17217034101486206, -1.5508769750595093]"
0,NA,"The farmer didn't own a cow. In fact, it was away on the meadow.",def,negation2_infact,"The|Ġfarmer|Ġdidn|'t|Ġown|Ġa|Ġcow|.|ĠIn|Ġfact|,|Ġit|Ġwas|Ġaway|Ġon|Ġthe|Ġme|adow|.","[-11.4953031539917, -5.9149017333984375, -0.8159042000770569, -5.521304130554199, -1.2784150838851929, -4.172301292419434, -1.6761608123779297, -3.9189720153808594, -0.4170110821723938, -0.16567309200763702, -4.292801380157471, -0.5384457111358643, -11.23291301727295, -1.4125646352767944, -3.308892250061035, -8.413771629333496, -0.1668103039264679, -1.5859260559082031]"
0,NA,The farmer didn't own a cow. It was just away on the meadow.,def,negation2_just,The|Ġfarmer|Ġdidn|'t|Ġown|Ġa|Ġcow|.|ĠIt|Ġwas|Ġjust|Ġaway|Ġon|Ġthe|Ġme|adow|.,"[-11.4953031539917, -5.9149017333984375, -0.8159042000770569, -5.521304130554199, -1.2784150838851929, -4.172301292419434, -1.6761608123779297, -4.123913764953613, -0.6942737698554993, -3.3834307193756104, -11.543455123901367, -2.1587510108947754, -2.782980442047119, -5.519023895263672, -0.10713311284780502, -1.4903826713562012]"
0,NA,"The farmer didn't own a cow. In fact, it was just away on the meadow.",def,negation2_just_infact,"The|Ġfarmer|Ġdidn|'t|Ġown|Ġa|Ġcow|.|ĠIn|Ġfact|,|Ġit|Ġwas|Ġjust|Ġaway|Ġon|Ġthe|Ġme|adow|.","[-11.4953031539917, -5.9149017333984375, -0.8159042000770569, -5.521304130554199, -1.2784150838851929, -4.172301292419434, -1.6761608123779297, -3.9189720153808594, -0.4170110821723938, -0.16567309200763702, -4.292801380157471, -0.5384457111358643, -4.0740203857421875, -13.07504653930664, -3.5415897369384766, -3.5808169841766357, -6.596174240112305, -0.11843132227659225, -1.4683027267456055]"
0,NA,The farmer owned a cow. It was away on the meadow.,def,existential,The|Ġfarmer|Ġowned|Ġa|Ġcow|.|ĠIt|Ġwas|Ġaway|Ġon|Ġthe|Ġme|adow|.,"[-11.495302200317383, -7.755415916442871, -1.1907774209976196, -3.6495609283447266, -1.9952621459960938, -3.768648386001587, -1.0362935066223145, -10.663893699645996, -2.1043426990509033, -2.020500659942627, -4.3109130859375, -0.22214150428771973, -1.8628675937652588]"
0,NA,"The farmer owned a cow. In fact, it was away on the meadow.",def,existential_infact,"The|Ġfarmer|Ġowned|Ġa|Ġcow|.|ĠIn|Ġfact|,|Ġit|Ġwas|Ġaway|Ġon|Ġthe|Ġme|adow|.","[-11.4953031539917, -7.755433082580566, -1.1907695531845093, -3.6495635509490967, -1.9952584505081177, -4.914301872253418, -3.8662359714508057, -0.2183457612991333, -2.005772590637207, -0.11427339911460876, -14.162166595458984, -2.4708199501037598, -2.482039451599121, -5.5142364501953125, -0.2355848103761673, -1.7505085468292236]"
1,NA,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.,def,DNE,It|Ġwas|Ġnot|Ġthe|Ġcase|Ġthat|Ġthe|Ġpirate|Ġdidn|'t|Ġacquire|Ġa|Ġtreasure|.|ĠIt|Ġwas|Ġjust|Ġhidden|Ġin|Ġthe|Ġbox|.,"[-5.6051836013793945, -2.86855149269104, -2.6248669624328613, -3.8919975757598877, -0.7436239719390869, -1.391089677810669, -11.26193618774414, -6.688873767852783, -0.5947797298431396, -8.519220352172852, -2.2329859733581543, -4.906060218811035, -1.6505019664764404, -2.0178275108337402, -0.4091199040412903, -2.2317404747009277, -6.166269302368164, -1.6250003576278687, -1.4590650796890259, -5.3220062255859375, -1.7212616205215454]"
1,NA,"It was not the case that the pirate didn't acquire a treasure. In fact, it was just hidden in the box.",def,DNE_infact,"It|Ġwas|Ġnot|Ġthe|Ġcase|Ġthat|Ġthe|Ġpirate|Ġdidn|'t|Ġacquire|Ġa|Ġtreasure|.|ĠIn|Ġfact|,|Ġit|Ġwas|Ġjust|Ġhidden|Ġin|Ġthe|Ġbox|.","[-5.605180740356445, -2.868556022644043, -2.6248672008514404, -3.8919973373413086, -0.7436268329620361, -1.3910919427871704, -11.261934280395508, -6.688879489898682, -0.5947855114936829, -8.51922607421875, -2.232978105545044, -4.9060750007629395, -1.6504966020584106, -3.377829074859619, -0.5919895172119141, -0.18691706657409668, -2.4971559047698975, -0.5400800704956055, -4.213499069213867, -6.656209945678711, -1.2610194683074951, -1.3572449684143066, -4.860754013061523, -1.498421549797058]"
