frame,pred,subj,gender,cont,scope,sent,sentence_type,tokens,logprobs
0,0,name,m,he,inScope,Every farmer who owns a cow beats it and also feeds it.,every,Every| farmer| who| owns| a| cow| beats| it| and| also| feeds| it|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -3.1626358, -6.500697, -3.9988804, -0.10667291, -1.8940208]"
0,0,name,m,he,outScope,Every farmer who owns a cow beats it. He also feeds it.,every,Every| farmer| who| owns| a| cow| beats| it|.| He| also| feeds| it|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -2.3359528, -3.1458702, -4.252612, -3.9110804, -0.20925732, -1.9256815]"
0,0,name,m,it,inScope,Every farmer who owns a cow beats it and it is a big one.,every,Every| farmer| who| owns| a| cow| beats| it| and| it| is| a| big| one|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -3.1626358, -4.39015, -2.2081964, -2.5507276, -5.189803, -5.04842, -1.5002702]"
0,0,name,m,it,outScope,Every farmer who owns a cow beats it. It is a big one.,every,Every| farmer| who| owns| a| cow| beats| it|.| It| is| a| big| one|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -2.3359528, -2.9886627, -0.85804874, -1.778897, -6.7540627, -5.467099, -1.5108323]"
0,0,name,f,he,inScope,Every farmer who owns a cow beats it and also feeds it.,every,Every| farmer| who| owns| a| cow| beats| it| and| also| feeds| it|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -3.1626358, -6.500697, -3.9988804, -0.10667291, -1.8940208]"
0,0,name,f,he,outScope,Every farmer who owns a cow beats it. She also feeds it.,every,Every| farmer| who| owns| a| cow| beats| it|.| She| also| feeds| it|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -2.3359528, -6.428156, -5.1070056, -5.6413493, -0.662915, -2.1400628]"
0,0,name,f,it,inScope,Every farmer who owns a cow beats it and it is a big one.,every,Every| farmer| who| owns| a| cow| beats| it| and| it| is| a| big| one|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -3.1626358, -4.39015, -2.2081964, -2.5507276, -5.189803, -5.04842, -1.5002702]"
0,0,name,f,it,outScope,Every farmer who owns a cow beats it. It is a big one.,every,Every| farmer| who| owns| a| cow| beats| it|.| It| is| a| big| one|.,"[-9.030976, -3.5432167, -2.9470665, -1.4866769, -3.211673, -10.27873, -0.65408486, -2.3359528, -2.9886627, -0.85804874, -1.778897, -6.7540627, -5.467099, -1.5108323]"
0,0,def,m,he,inScope,"If the farmer owns a cow, he beats it and also feeds it.",if,"If| the| farmer| owns| a| cow|,| he| beats| it| and| also| feeds| it|.","[-2.8400805, -8.81125, -6.0586433, -2.1664581, -3.359812, -0.7265697, -1.5805697, -9.513726, -0.5493592, -2.400214, -6.3921723, -3.4721122, -0.10985508, -1.1001318]"
0,0,def,m,he,outScope,"If the farmer owns a cow, he beats it. He also feeds it.",if,"If| the| farmer| owns| a| cow|,| he| beats| it|.| He| also| feeds| it|.","[-2.8400805, -8.81125, -6.0586433, -2.1664581, -3.359812, -0.7265697, -1.5805697, -9.513726, -0.5493592, -1.9584377, -3.3282256, -3.8638198, -4.019505, -0.3369158, -1.544922]"
0,0,def,m,he,inScope,"Whenever the farmer owns a cow, he beats it and also feeds it.",whenever,"Whenever| the| farmer| owns| a| cow|,| he| beats| it| and| also| feeds| it|.","[-2.442995, -8.648642, -8.309734, -1.7477356, -3.7142315, -0.6404774, -1.1309012, -8.759175, -0.6421031, -2.671852, -5.9358544, -3.3937128, -0.10768526, -1.5071449]"
0,0,def,m,he,outScope,"Whenever the farmer owns a cow, he beats it. He also feeds it.",whenever,"Whenever| the| farmer| owns| a| cow|,| he| beats| it|.| He| also| feeds| it|.","[-2.442995, -8.648642, -8.309734, -1.7477356, -3.7142315, -0.6404774, -1.1309012, -8.759175, -0.6421031, -1.9124298, -2.9799328, -3.8419008, -4.200938, -0.35072416, -2.3534887]"
0,0,def,m,he,inScope,"The farmer owns a cow, and he beats it and also feeds it.",existential,"The| farmer| owns| a| cow|,| and| he| beats| it| and| also| feeds| it|.","[-10.001135, -7.0275025, -1.7067289, -3.520261, -1.7755133, -1.807322, -1.9799569, -9.609154, -1.1179117, -3.2492595, -6.7951903, -3.0739477, -0.100655735, -1.3134338]"
0,0,def,m,he,outScope,"The farmer owns a cow, and he beats it. He also feeds it.",existential,"The| farmer| owns| a| cow|,| and| he| beats| it|.| He| also| feeds| it|.","[-10.001135, -7.0275025, -1.7067289, -3.520261, -1.7755133, -1.807322, -1.9799569, -9.609154, -1.1179117, -1.9533409, -2.19732, -3.5062542, -4.0687695, -0.3828109, -1.4680221]"
0,0,def,m,it,inScope,"If the farmer owns a cow, he beats it and it is a big one.",if,"If| the| farmer| owns| a| cow|,| he| beats| it| and| it| is| a| big| one|.","[-2.8387535, -8.809965, -6.058589, -2.1674216, -3.3614764, -0.72669786, -1.5803264, -9.514506, -0.54879075, -2.4007437, -3.036713, -4.004765, -3.1410918, -5.8747597, -6.4661536, -0.9315237]"
0,0,def,m,it,outScope,"If the farmer owns a cow, he beats it. It is a big one.",if,"If| the| farmer| owns| a| cow|,| he| beats| it|.| It| is| a| big| one|.","[-2.8387535, -8.809965, -6.058589, -2.1674216, -3.3614764, -0.72669786, -1.5803264, -9.514506, -0.54879075, -1.9583476, -4.3098617, -1.3031279, -2.213387, -5.400486, -4.7450047, -0.9958856]"
