frame,pred,subj,gender,cont,scope,sent,sentence_type,tokens,logprobs
0,0,name,m,he,inScope,Every farmer who owns a cow beats it and also feeds it.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -4.018912315368652, -5.7975664138793945, -3.1327152252197266, -0.157143697142601, -2.158933162689209]"
0,0,name,m,he,outScope,Every farmer who owns a cow beats it. He also feeds it.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -2.2026214599609375, -4.263996124267578, -4.160324573516846, -3.756673574447632, -0.1530642956495285, -2.0327367782592773]"
0,0,name,m,it,inScope,Every farmer who owns a cow beats it and it is a big one.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -4.018912315368652, -5.250090599060059, -2.5004608631134033, -1.9203050136566162, -5.429439544677734, -5.361360549926758, -1.5306673049926758]"
0,0,name,m,it,outScope,Every farmer who owns a cow beats it. It is a big one.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -2.2026214599609375, -3.0371553897857666, -1.2949137687683105, -1.12557852268219, -7.715343475341797, -7.708380699157715, -1.6660563945770264]"
0,0,name,f,he,inScope,Every farmer who owns a cow beats it and also feeds it.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -4.018912315368652, -5.7975664138793945, -3.1327152252197266, -0.157143697142601, -2.158933162689209]"
0,0,name,f,he,outScope,Every farmer who owns a cow beats it. She also feeds it.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|.|ĠShe|Ġalso|Ġfeeds|Ġit|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -2.2026214599609375, -7.4846296310424805, -4.908806800842285, -6.496901512145996, -0.4303860366344452, -2.4254655838012695]"
0,0,name,f,it,inScope,Every farmer who owns a cow beats it and it is a big one.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -4.018912315368652, -5.250090599060059, -2.5004608631134033, -1.9203050136566162, -5.429439544677734, -5.361360549926758, -1.5306673049926758]"
0,0,name,f,it,outScope,Every farmer who owns a cow beats it. It is a big one.,every,Every|Ġfarmer|Ġwho|Ġowns|Ġa|Ġcow|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.,"[-10.313337326049805, -3.1974897384643555, -3.310231924057007, -0.987285852432251, -2.6793110370635986, -12.450563430786133, -0.7807528972625732, -2.2026214599609375, -3.0371553897857666, -1.2949137687683105, -1.12557852268219, -7.715343475341797, -7.708380699157715, -1.6660563945770264]"
0,0,def,m,he,inScope,"If the farmer owns a cow, he beats it and also feeds it.",if,"If|Ġthe|Ġfarmer|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-11.637836456298828, -7.974259376525879, -5.365115165710449, -1.9501054286956787, -3.5836739540100098, -0.7029772400856018, -1.0545438528060913, -11.209043502807617, -0.46333450078964233, -2.820482015609741, -6.1862897872924805, -2.1307239532470703, -0.062191009521484375, -0.8743160367012024]"
0,0,def,m,he,outScope,"If the farmer owns a cow, he beats it. He also feeds it.",if,"If|Ġthe|Ġfarmer|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-11.637836456298828, -7.974260330200195, -5.365113258361816, -1.9501014947891235, -3.583669424057007, -0.7029744982719421, -1.0545436143875122, -11.20903491973877, -0.463334858417511, -1.8339807987213135, -3.0272927284240723, -3.87522554397583, -3.3927063941955566, -0.21439270675182343, -1.038456678390503]"
