frame,pred,subj,gender,cont,scope,sent,sentence_type,tokens,logprobs
0,0,name,m,he,inScope,"If John owns a cow, he beats it and also feeds it.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-13.030166625976562, -8.173712730407715, -1.4725714921951294, -6.053864479064941, -0.9895570874214172, -2.1303563117980957, -9.88137149810791, -0.46553540229797363, -2.7058191299438477, -6.3992815017700195, -2.1338469982147217, -0.05139298364520073, -0.6677383184432983]"
0,0,name,m,he,outScope,"If John owns a cow, he beats it. He also feeds it.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-13.030166625976562, -8.173712730407715, -1.4725714921951294, -6.053864479064941, -0.9895570874214172, -2.1303563117980957, -9.88137149810791, -0.46553540229797363, -1.5718954801559448, -3.315908670425415, -3.375767469406128, -5.740780830383301, -0.21239019930362701, -0.9107905030250549]"
0,0,name,m,he,inScope,"Whenever John owns a cow, he beats it and also feeds it.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-10.365049362182617, -9.77421760559082, -1.240451693534851, -5.8625359535217285, -0.4753454327583313, -0.8192577958106995, -8.068549156188965, -0.29188674688339233, -2.7289819717407227, -6.52754545211792, -2.0861072540283203, -0.05604233592748642, -0.6618318557739258]"
0,0,name,m,he,outScope,"Whenever John owns a cow, he beats it. He also feeds it.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-10.365049362182617, -9.77421760559082, -1.240451693534851, -5.8625359535217285, -0.4753454327583313, -0.8192577958106995, -8.068549156188965, -0.29188674688339233, -1.4968996047973633, -2.953787326812744, -2.8984832763671875, -5.212550163269043, -0.223719984292984, -0.885025680065155]"
0,0,name,m,he,inScope,"John owns a cow, and he beats it and also feeds it.",existential,"John|Ġowns|Ġa|Ġcow|,|Ġand|Ġhe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-9.425821304321289, -0.8223652839660645, -7.3594465255737305, -1.876508355140686, -1.6698288917541504, -1.5962536334991455, -9.165128707885742, -0.323460191488266, -4.0668439865112305, -5.779743194580078, -1.7292354106903076, -0.05163075402379036, -0.6576138138771057]"
0,0,name,m,he,outScope,"John owns a cow, and he beats it. He also feeds it.",existential,"John|Ġowns|Ġa|Ġcow|,|Ġand|Ġhe|Ġbeats|Ġit|.|ĠHe|Ġalso|Ġfeeds|Ġit|.","[-9.425821304321289, -0.8223652839660645, -7.3594465255737305, -1.876508355140686, -1.6698288917541504, -1.5962536334991455, -9.165128707885742, -0.323460191488266, -2.422961950302124, -2.125560760498047, -2.550917625427246, -4.910670757293701, -0.167494535446167, -1.0622162818908691]"
0,0,name,m,it,inScope,"If John owns a cow, he beats it and it is a big one.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.","[-13.030168533325195, -8.173707962036133, -1.4725782871246338, -6.05386209487915, -0.9895583987236023, -2.130354404449463, -9.881370544433594, -0.46553000807762146, -2.7058160305023193, -1.9358611106872559, -4.481099605560303, -3.1300132274627686, -6.450465202331543, -2.9737658500671387, -0.9293044805526733]"
0,0,name,m,it,outScope,"If John owns a cow, he beats it. It is a big one.",if,"If|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.","[-13.030168533325195, -8.173707962036133, -1.4725782871246338, -6.05386209487915, -0.9895583987236023, -2.130354404449463, -9.881370544433594, -0.46553000807762146, -1.5718934535980225, -4.356510162353516, -1.1046863794326782, -2.2457876205444336, -6.8141889572143555, -4.073812484741211, -1.0817866325378418]"
0,0,name,m,it,inScope,"Whenever John owns a cow, he beats it and it is a big one.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.","[-10.365047454833984, -9.774211883544922, -1.2404506206512451, -5.862541198730469, -0.4753428101539612, -0.8192558288574219, -8.068556785583496, -0.2918885052204132, -2.728978157043457, -3.03969669342041, -4.450240135192871, -3.1697418689727783, -6.000235557556152, -4.248213768005371, -0.7842653393745422]"
0,0,name,m,it,outScope,"Whenever John owns a cow, he beats it. It is a big one.",whenever,"Whenever|ĠJohn|Ġowns|Ġa|Ġcow|,|Ġhe|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.","[-10.365047454833984, -9.774211883544922, -1.2404506206512451, -5.862541198730469, -0.4753428101539612, -0.8192558288574219, -8.068556785583496, -0.2918885052204132, -1.4968976974487305, -3.93233585357666, -0.968571662902832, -2.1466064453125, -6.789531707763672, -5.109091758728027, -1.1427513360977173]"
0,0,name,m,it,inScope,"John owns a cow, and he beats it and it is a big one.",existential,"John|Ġowns|Ġa|Ġcow|,|Ġand|Ġhe|Ġbeats|Ġit|Ġand|Ġit|Ġis|Ġa|Ġbig|Ġone|.","[-9.425820350646973, -0.822361946105957, -7.359443664550781, -1.876508116722107, -1.669831395149231, -1.596254825592041, -9.165122032165527, -0.323458194732666, -4.066844940185547, -3.4800753593444824, -3.822381019592285, -3.778188467025757, -5.397437572479248, -3.1293811798095703, -0.9041997194290161]"
0,0,name,m,it,outScope,"John owns a cow, and he beats it. It is a big one.",existential,"John|Ġowns|Ġa|Ġcow|,|Ġand|Ġhe|Ġbeats|Ġit|.|ĠIt|Ġis|Ġa|Ġbig|Ġone|.","[-9.425820350646973, -0.822361946105957, -7.359443664550781, -1.876508116722107, -1.669831395149231, -1.596254825592041, -9.165122032165527, -0.323458194732666, -2.4229564666748047, -3.6571898460388184, -2.2507240772247314, -1.914490818977356, -5.56828498840332, -4.897900581359863, -1.3405811786651611]"
0,0,name,f,he,inScope,"If Mary owns a cow, she beats it and also feeds it.",if,"If|ĠMary|Ġowns|Ġa|Ġcow|,|Ġshe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-10.783821105957031, -8.405268669128418, -1.5718865394592285, -6.2244672775268555, -1.2239117622375488, -2.489866256713867, -11.382331848144531, -0.48327356576919556, -2.510371208190918, -5.778908729553223, -1.8740360736846924, -0.055642127990722656, -0.5986546874046326]"
0,0,name,f,he,outScope,"If Mary owns a cow, she beats it. She also feeds it.",if,"If|ĠMary|Ġowns|Ġa|Ġcow|,|Ġshe|Ġbeats|Ġit|.|ĠShe|Ġalso|Ġfeeds|Ġit|.","[-10.783821105957031, -8.405268669128418, -1.5718865394592285, -6.2244672775268555, -1.2239117622375488, -2.489866256713867, -11.382331848144531, -0.48327356576919556, -2.0290870666503906, -3.0706777572631836, -3.153956413269043, -4.963150501251221, -0.20943257212638855, -0.9680473208427429]"
0,0,name,f,he,inScope,"Whenever Mary owns a cow, she beats it and also feeds it.",whenever,"Whenever|ĠMary|Ġowns|Ġa|Ġcow|,|Ġshe|Ġbeats|Ġit|Ġand|Ġalso|Ġfeeds|Ġit|.","[-9.169334411621094, -10.009891510009766, -1.3104561567306519, -6.189060688018799, -0.43511730432510376, -0.7831705808639526, -9.59286880493164, -0.3916330933570862, -2.438782215118408, -6.134181022644043, -1.9833464622497559, -0.0645366758108139, -0.8775107264518738]"
