frame,gender,sent,subject,sentence_type,tokens,logprobs
0,NA,It was not the case that the farmer didn't own a cow. It was just away on the meadow.,def,DNE,It| was| not| the| case| that| the| farmer| didn|'t| own| a| cow|.| It| was| just| away| on| the| me|adow|.,"[-2.3120632, -3.7709918, -2.6325545, -4.126794, -1.1438602, -1.4009677, -7.975137, -5.6525297, -0.9613461, -4.6329193, -3.1332142, -3.76841, -1.2647563, -1.9934354, -0.19833633, -2.9750724, -10.905411, -2.2705977, -2.3428802, -5.478058, -0.19965084, -1.3883882]"
0,NA,"It was not the case that the farmer didn't own a cow. In fact, it was just away on the meadow.",def,DNE_infact,"It| was| not| the| case| that| the| farmer| didn|'t| own| a| cow|.| In| fact|,| it| was| just| away| on| the| me|adow|.","[-2.3120632, -3.7709918, -2.6325545, -4.126794, -1.1438602, -1.4009677, -7.975137, -5.6525297, -0.9613461, -4.6329193, -3.1332142, -3.76841, -1.2647563, -4.0309777, -0.6450658, -0.3221948, -2.9387977, -0.29161298, -3.6793144, -12.455692, -2.3692362, -2.3326526, -5.4227967, -0.13371584, -1.4838141]"
0,NA,The farmer didn't own a cow. It was away on the meadow.,def,negation2,The| farmer| didn|'t| own| a| cow|.| It| was| away| on| the| me|adow|.,"[-10.001135, -6.0337844, -0.861439, -5.559335, -1.3784379, -3.7071452, -1.670097, -3.4795222, -0.55773294, -10.1484165, -4.220083, -0.62095016, -6.162085, -0.09002239, -1.4660728]"
0,NA,"The farmer didn't own a cow. In fact, it was away on the meadow.",def,negation2_infact,"The| farmer| didn|'t| own| a| cow|.| In| fact|,| it| was| away| on| the| me|adow|.","[-10.003115, -6.0338364, -0.86154413, -5.55974, -1.3779899, -3.7040749, -1.6695725, -4.5305142, -0.3656146, -0.12828754, -5.023277, -0.6077882, -11.355307, -2.5304475, -1.0852988, -7.251999, -0.08425932, -2.2051911]"
0,NA,The farmer didn't own a cow. It was just away on the meadow.,def,negation2_just,The| farmer| didn|'t| own| a| cow|.| It| was| just| away| on| the| me|adow|.,"[-10.003115, -6.0338364, -0.86154413, -5.55974, -1.3779899, -3.7040749, -1.6695725, -3.4789386, -0.55675286, -2.5541482, -10.020296, -3.6699939, -1.7776457, -7.153724, -0.103178084, -1.6752502]"
0,NA,"The farmer didn't own a cow. In fact, it was just away on the meadow.",def,negation2_just_infact,"The| farmer| didn|'t| own| a| cow|.| In| fact|,| it| was| just| away| on| the| me|adow|.","[-10.003115, -6.0338364, -0.86154413, -5.55974, -1.3779899, -3.7040749, -1.6695725, -4.5305142, -0.3656146, -0.12828754, -5.023277, -0.6077882, -3.6516023, -10.852013, -2.1320415, -2.5282009, -7.3827934, -0.09798491, -2.171872]"
0,NA,The farmer owned a cow. It was away on the meadow.,def,existential,The| farmer| owned| a| cow|.| It| was| away| on| the| me|adow|.,"[-10.001135, -7.030885, -2.752635, -3.8888173, -1.6207206, -3.3507595, -0.9032871, -10.296491, -2.275453, -1.6705534, -4.4318275, -0.23911676, -1.3852831]"
0,NA,"The farmer owned a cow. In fact, it was away on the meadow.",def,existential_infact,"The| farmer| owned| a| cow|.| In| fact|,| it| was| away| on| the| me|adow|.","[-10.003115, -7.030175, -2.7505045, -3.8892455, -1.6223441, -4.0503173, -2.8272934, -0.23026858, -3.296497, -0.09785002, -12.553691, -1.9253451, -1.7066927, -4.66724, -0.19513519, -1.5647049]"
1,NA,It was not the case that the pirate didn't acquire a treasure. It was just hidden in the box.,def,DNE,It| was| not| the| case| that| the| pirate| didn|'t| acquire| a| treasure|.| It| was| just| hidden| in| the| box|.,"[-2.3120632, -3.7709918, -2.6325545, -4.126794, -1.1438602, -1.4009677, -10.854773, -6.274251, -0.74592716, -9.212899, -2.45852, -6.9115877, -1.8611127, -1.7208158, -0.34680685, -2.4945016, -5.5913057, -2.1058607, -1.1893117, -5.5217905, -1.1493529]"
1,NA,"It was not the case that the pirate didn't acquire a treasure. In fact, it was just hidden in the box.",def,DNE_infact,"It| was| not| the| case| that| the| pirate| didn|'t| acquire| a| treasure|.| In| fact|,| it| was| just| hidden| in| the| box|.","[-2.3120632, -3.7709918, -2.6325545, -4.126794, -1.1438602, -1.4009677, -10.854773, -6.274251, -0.74592716, -9.212899, -2.45852, -6.9115877, -1.8611127, -4.043763, -0.9377548, -0.17562263, -2.5549364, -0.69995207, -3.156969, -7.7889805, -1.6523232, -0.8591164, -5.088811, -1.0502377]"
1,NA,The pirate didn't acquire a treasure. It was hidden in the box.,def,negation2,The| pirate| didn|'t| acquire| a| treasure|.| It| was| hidden| in| the| box|.,"[-10.927519, -6.995988, -0.594705, -11.054183, -2.3955235, -5.3019023, -3.0981512, -2.9171314, -0.81843686, -5.0565395, -1.9723428, -1.0740006, -6.5639343, -1.2664342]"
1,NA,"The pirate didn't acquire a treasure. In fact, it was hidden in the box.",def,negation2_infact,"The| pirate| didn|'t| acquire| a| treasure|.| In| fact|,| it| was| hidden| in| the| box|.","[-10.929105, -6.995724, -0.59510344, -11.05124, -2.395393, -5.3030534, -3.0967388, -4.4546566, -1.2004939, -0.1402508, -2.8474536, -1.089683, -6.2354646, -1.8036032, -1.0970287, -6.1440372, -1.253494]"
1,NA,The pirate didn't acquire a treasure. It was just hidden in the box.,def,negation2_just,The| pirate| didn|'t| acquire| a| treasure|.| It| was| just| hidden| in| the| box|.,"[-10.927519, -6.995988, -0.594705, -11.054183, -2.3955235, -5.3019023, -3.0981512, -2.9171314, -0.81843686, -3.4876144, -6.338406, -1.8608602, -1.1021209, -6.002942, -0.9528335]"
1,NA,"The pirate didn't acquire a treasure. In fact, it was just hidden in the box.",def,negation2_just_infact,"The| pirate| didn|'t| acquire| a| treasure|.| In| fact|,| it| was| just| hidden| in| the| box|.","[-10.929105, -6.995724, -0.59510344, -11.05124, -2.395393, -5.3030534, -3.0967388, -4.4546566, -1.2004939, -0.1402508, -2.8474536, -1.089683, -3.5443344, -7.638359, -1.3777397, -0.97452766, -5.4292555, -0.87064594]"
1,NA,The pirate acquired a treasure. It was hidden in the box.,def,existential,The| pirate| acquired| a| treasure|.| It| was| hidden| in| the| box|.,"[-10.927519, -10.603888, -1.5195539, -6.013464, -3.9351254, -3.0561087, -0.9771141, -3.9906645, -0.8182099, -1.1491276, -5.9690914, -0.8726876]"
1,NA,"The pirate acquired a treasure. In fact, it was hidden in the box.",def,existential_infact,"The| pirate| acquired| a| treasure|.| In| fact|,| it| was| hidden| in| the| box|.","[-10.927519, -10.603888, -1.5195539, -6.013464, -3.9351254, -4.062752, -3.332746, -0.15792923, -1.7698411, -0.61259687, -6.4234476, -0.80476093, -0.9063471, -5.717015, -1.1515051]"
2,NA,It was not the case that the kid didn't have a dog. It was just out for a walk.,def,DNE,It| was| not| the| case| that| the| kid| didn|'t| have| a| dog|.| It| was| just| out| for| a| walk|.,"[-2.3120632, -3.7709918, -2.6325545, -4.126794, -1.1438602, -1.4009677, -8.7245655, -3.734456, -0.5862455, -2.1238623, -1.3008304, -6.77326, -1.3291957, -1.6775258, -0.21416546, -2.655474, -6.970356, -3.5184472, -0.3706212, -0.22483328, -1.3135144]"
2,NA,"It was not the case that the kid didn't have a dog. In fact, it was just out for a walk.",def,DNE_infact,"It| was| not| the| case| that| the| kid| didn|'t| have| a| dog|.| In| fact|,| it| was| just| out| for| a| walk|.","[-2.3120632, -3.7709918, -2.6325545, -4.126794, -1.1438602, -1.4009677, -8.7245655, -3.734456, -0.5862455, -2.1238623, -1.3008304, -6.77326, -1.3291957, -5.3355103, -0.3892092, -0.1494198, -2.7564876, -0.64545965, -3.4590979, -7.056833, -3.6673532, -0.15308695, -0.23128696, -1.3813393]"
2,NA,The kid didn't have a dog. It was out for a walk.,def,negation2,The| kid| didn|'t| have| a| dog|.| It| was| out| for| a| walk|.,"[-9.415127, -5.1733627, -0.5461702, -2.5344613, -1.0748997, -6.3322735, -1.8514369, -2.8229594, -0.43244296, -8.074908, -3.419434, -0.4813546, -0.35954314, -1.4151144]"
2,NA,"The kid didn't have a dog. In fact, it was out for a walk.",def,negation2_infact,"The| kid| didn|'t| have| a| dog|.| In| fact|,| it| was| out| for| a| walk|.","[-9.416228, -5.1733913, -0.5463029, -2.53448, -1.0750775, -6.332411, -1.8509449, -5.9603786, -0.6880324, -0.13185418, -3.648489, -0.78376067, -7.7970433, -3.8072212, -0.5000179, -0.59166694, -2.1353722]"
2,NA,The kid didn't have a dog. It was just out for a walk.,def,negation2_just,The| kid| didn|'t| have| a| dog|.| It| was| just| out| for| a| walk|.,"[-9.415127, -5.1733627, -0.5461702, -2.5344613, -1.0748997, -6.3322735, -1.8514369, -2.8229594, -0.43244296, -2.1285958, -7.1232996, -3.040628, -0.1689423, -0.38828766, -1.2419449]"
2,NA,"The kid didn't have a dog. In fact, it was just out for a walk.",def,negation2_just_infact,"The| kid| didn|'t| have| a| dog|.| In| fact|,| it| was| just| out| for| a| walk|.","[-9.416228, -5.1733913, -0.5463029, -2.53448, -1.0750775, -6.332411, -1.8509449, -5.9603786, -0.6880324, -0.13185418, -3.648489, -0.78376067, -3.2415895, -7.6780863, -2.318686, -0.1437498, -0.5606766, -1.4634663]"
