frame,gender,sent,sentence_type,scope,tokens,logprobs
0,m,A farmer worked in the field before he dreamed of the harvest.,ext,inScope,A| farmer| worked| in| the| field| before| he| dreamed| of| the| harvest|.,"[-10.140713, -8.21525, -2.149332, -1.0486368, -1.3594787, -6.4453583, -2.877461, -10.394973, -0.67721206, -2.6446052, -3.9874246, -1.0593038]"
0,m,A farmer worked in the field. He dreamed of the harvest.,ext,outScope,A| farmer| worked| in| the| field|.| He| dreamed| of| the| harvest|.,"[-10.140713, -8.21525, -2.149332, -1.0486368, -1.3594787, -2.1341019, -1.3352456, -8.305775, -0.45124388, -3.089589, -4.3072357, -1.2792602]"
0,m,Every farmer worked in the field before he dreamed of the harvest.,uni,inScope,Every| farmer| worked| in| the| field| before| he| dreamed| of| the| harvest|.,"[-9.031849, -8.918484, -2.7891102, -0.82716566, -1.8251274, -5.434105, -2.8051534, -8.407252, -0.08591869, -3.2392807, -4.884949, -1.0914378]"
0,m,Every farmer worked in the field. He dreamed of the harvest.,uni,outScope,Every| farmer| worked| in| the| field|.| He| dreamed| of| the| harvest|.,"[-9.031849, -8.918484, -2.7891102, -0.82716566, -1.8251274, -2.3105376, -2.462697, -8.740609, -0.35447884, -2.4509654, -4.086259, -1.3813353]"
0,m,No farmer worked in the field before he dreamed of the harvest.,no,inScope,No| farmer| worked| in| the| field| before| he| dreamed| of| the| harvest|.,"[-13.156928, -9.429279, -3.0315814, -1.202227, -2.0052352, -5.6981125, -3.3328943, -9.154477, -0.5606704, -1.6226376, -1.4465325, -1.2440112]"
0,m,No farmer worked in the field. He dreamed of the harvest.,no,outScope,No| farmer| worked| in| the| field|.| He| dreamed| of| the| harvest|.,"[-13.156928, -9.429279, -3.0315814, -1.202227, -2.0052352, -2.385233, -1.9447942, -8.653098, -0.5866976, -2.126953, -4.255907, -1.7255404]"
0,f,A farmer worked in the field before she dreamed of the harvest.,ext,inScope,A| farmer| worked| in| the| field| before| she| dreamed| of| the| harvest|.,"[-10.140713, -8.21525, -2.149332, -1.0486368, -1.3594787, -6.4453583, -6.2662954, -10.257358, -0.58766145, -2.8333511, -4.385771, -1.1238437]"
0,f,A farmer worked in the field. She dreamed of the harvest.,ext,outScope,A| farmer| worked| in| the| field|.| She| dreamed| of| the| harvest|.,"[-10.140713, -8.21525, -2.149332, -1.0486368, -1.3594787, -2.1341019, -4.55417, -8.296783, -0.3968199, -2.90598, -4.770772, -1.2987808]"
0,f,Every farmer worked in the field before she dreamed of the harvest.,uni,inScope,Every| farmer| worked| in| the| field| before| she| dreamed| of| the| harvest|.,"[-9.031849, -8.918484, -2.7891102, -0.82716566, -1.8251274, -5.434105, -6.5873218, -9.183876, -0.12193068, -3.34479, -4.553995, -1.0564988]"
0,f,Every farmer worked in the field. She dreamed of the harvest.,uni,outScope,Every| farmer| worked| in| the| field|.| She| dreamed| of| the| harvest|.,"[-9.031849, -8.918484, -2.7891102, -0.82716566, -1.8251274, -2.3105376, -5.4560003, -8.371131, -0.45352837, -2.8363023, -5.0772533, -1.484111]"
0,f,No farmer worked in the field before she dreamed of the harvest.,no,inScope,No| farmer| worked| in| the| field| before| she| dreamed| of| the| harvest|.,"[-13.156928, -9.429279, -3.0315814, -1.202227, -2.0052352, -5.6981125, -6.217195, -9.116381, -0.8322302, -2.1763315, -2.6870315, -1.3143394]"
0,f,No farmer worked in the field. She dreamed of the harvest.,no,outScope,No| farmer| worked| in| the| field|.| She| dreamed| of| the| harvest|.,"[-13.156928, -9.429279, -3.0315814, -1.202227, -2.0052352, -2.385233, -5.347221, -7.989602, -0.61071724, -2.3466477, -5.1189823, -2.005604]"
0,p,A farmer worked in the field before they dreamed of the harvest.,ext,inScope,A| farmer| worked| in| the| field| before| they| dreamed| of| the| harvest|.,"[-10.140713, -8.21525, -2.149332, -1.0486368, -1.3594787, -6.4453583, -6.5707917, -10.667749, -0.66456985, -2.2051191, -6.2912283, -1.1337729]"
0,p,A farmer worked in the field. They dreamed of the harvest.,ext,outScope,A| farmer| worked| in| the| field|.| They| dreamed| of| the| harvest|.,"[-10.140713, -8.21525, -2.149332, -1.0486368, -1.3594787, -2.1341019, -5.257581, -9.558615, -0.5063752, -2.5306017, -3.6635413, -1.30918]"
0,p,Every farmer worked in the field before they dreamed of the harvest.,uni,inScope,Every| farmer| worked| in| the| field| before| they| dreamed| of| the| harvest|.,"[-9.031849, -8.918484, -2.7891102, -0.82716566, -1.8251274, -5.434105, -3.1643653, -8.82743, -0.16452841, -3.6720333, -4.162511, -0.9452395]"
0,p,Every farmer worked in the field. They dreamed of the harvest.,uni,outScope,Every| farmer| worked| in| the| field|.| They| dreamed| of| the| harvest|.,"[-9.031849, -8.918484, -2.7891102, -0.82716566, -1.8251274, -2.3105376, -3.3407488, -10.025765, -0.42269754, -2.4024558, -3.7911744, -1.4884613]"
0,p,No farmer worked in the field before they dreamed of the harvest.,no,inScope,No| farmer| worked| in| the| field| before| they| dreamed| of| the| harvest|.,"[-13.156928, -9.429279, -3.0315814, -1.202227, -2.0052352, -5.6981125, -4.6701345, -10.194975, -0.45223415, -1.8049834, -1.5482614, -1.0590444]"
0,p,No farmer worked in the field. They dreamed of the harvest.,no,outScope,No| farmer| worked| in| the| field|.| They| dreamed| of| the| harvest|.,"[-13.156928, -9.429279, -3.0315814, -1.202227, -2.0052352, -2.385233, -3.3990102, -9.975464, -0.5862251, -2.0917754, -3.8108113, -1.7919344]"
1,m,A pirate sailed across the ocean before he laughed as the waves crashed around.,ext,inScope,A| pirate| sailed| across| the| ocean| before| he| laughed| as| the| waves| crashed| around|.,"[-11.745735, -7.932889, -3.298327, -0.14903495, -1.7505463, -8.007868, -1.7417713, -10.38181, -4.6752477, -2.5082352, -2.944392, -2.0292554, -2.7589366, -4.378832]"
