frame,gender,sent,sentence_type,scope,tokens,logprobs
0,m,A farmer worked in the field before he dreamed of the harvest.,ext,inScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġhe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.644168853759766, -8.432650566101074, -2.4824204444885254, -0.9587153196334839, -1.4138227701187134, -6.816896915435791, -3.1417741775512695, -9.343755722045898, -0.5518819093704224, -2.8082895278930664, -4.972188949584961, -0.8573542833328247]"
0,m,A farmer worked in the field. He dreamed of the harvest.,ext,outScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠHe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.644168853759766, -8.432650566101074, -2.4824204444885254, -0.9587153196334839, -1.4138227701187134, -2.6791634559631348, -1.2291154861450195, -8.430438041687012, -1.2471246719360352, -3.0666582584381104, -4.383114814758301, -1.3173778057098389]"
0,m,Every farmer worked in the field before he dreamed of the harvest.,uni,inScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġhe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.415552139282227, -8.976826667785645, -2.8158252239227295, -0.9621176719665527, -2.056844711303711, -5.572332859039307, -2.907019853591919, -9.17647933959961, -0.1926790177822113, -2.995664119720459, -3.676612615585327, -1.076291799545288]"
0,m,Every farmer worked in the field. He dreamed of the harvest.,uni,outScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠHe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.415552139282227, -8.976826667785645, -2.8158252239227295, -0.9621176719665527, -2.056844711303711, -2.509491443634033, -3.8385486602783203, -8.604153633117676, -0.4871176481246948, -1.8633962869644165, -3.5179543495178223, -1.5442659854888916]"
0,m,No farmer worked in the field before he dreamed of the harvest.,no,inScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġhe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.752490043640137, -7.572116374969482, -2.314934015274048, -0.896922767162323, -2.3059072494506836, -5.1796112060546875, -3.39046311378479, -8.98811149597168, -0.6228014230728149, -2.5018205642700195, -4.194548606872559, -1.2124065160751343]"
0,m,No farmer worked in the field. He dreamed of the harvest.,no,outScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠHe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.752490043640137, -7.572116374969482, -2.314934015274048, -0.896922767162323, -2.3059072494506836, -1.9150254726409912, -3.785749912261963, -8.63830852508545, -0.6011879444122314, -2.1561198234558105, -4.532858371734619, -1.8247246742248535]"
0,f,A farmer worked in the field before she dreamed of the harvest.,ext,inScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġshe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.644168853759766, -8.432650566101074, -2.4824204444885254, -0.9587153196334839, -1.4138227701187134, -6.816896915435791, -5.308947563171387, -9.103535652160645, -0.6349444389343262, -2.9493420124053955, -5.589641571044922, -1.000788927078247]"
0,f,A farmer worked in the field. She dreamed of the harvest.,ext,outScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠShe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.644168853759766, -8.432650566101074, -2.4824204444885254, -0.9587153196334839, -1.4138227701187134, -2.6791634559631348, -4.017762184143066, -8.097899436950684, -1.0643868446350098, -2.984428644180298, -4.503364562988281, -1.397580623626709]"
0,f,Every farmer worked in the field before she dreamed of the harvest.,uni,inScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġshe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.415552139282227, -8.976826667785645, -2.8158252239227295, -0.9621176719665527, -2.056844711303711, -5.572332859039307, -5.852120399475098, -9.14148998260498, -0.26415911316871643, -2.9849209785461426, -5.637010097503662, -1.2405599355697632]"
0,f,Every farmer worked in the field. She dreamed of the harvest.,uni,outScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠShe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.415552139282227, -8.976826667785645, -2.8158252239227295, -0.9621176719665527, -2.056844711303711, -2.509491443634033, -5.613509178161621, -8.35932445526123, -0.4194451570510864, -2.168093204498291, -4.850031852722168, -1.9519643783569336]"
0,f,No farmer worked in the field before she dreamed of the harvest.,no,inScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġshe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.752490043640137, -7.572116374969482, -2.314934015274048, -0.896922767162323, -2.3059072494506836, -5.1796112060546875, -5.392057418823242, -9.225017547607422, -0.5673928260803223, -3.1335439682006836, -5.139508247375488, -1.368425726890564]"
0,f,No farmer worked in the field. She dreamed of the harvest.,no,outScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠShe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.752490043640137, -7.572116374969482, -2.314934015274048, -0.896922767162323, -2.3059072494506836, -1.9150254726409912, -5.778702259063721, -8.169381141662598, -0.504565954208374, -2.307810068130493, -4.856832027435303, -2.0906710624694824]"
0,p,A farmer worked in the field before they dreamed of the harvest.,ext,inScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġthey|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-11.644168853759766, -8.432650566101074, -2.4824204444885254, -0.9587153196334839, -1.4138227701187134, -6.816896915435791, -6.117016792297363, -9.293509483337402, -0.41909241676330566, -2.6675491333007812, -4.675541877746582, -0.9946473240852356]"
