frame,gender,sent,sentence_type,scope,tokens,logprobs
0,m,A farmer worked in the field before he dreamed of the harvest.,ext,inScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġhe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-21.354290008544922, -7.272557258605957, -1.4201582670211792, -0.9566023349761963, -1.0835117101669312, -7.337531566619873, -4.560022830963135, -9.182050704956055, -0.7380238771438599, -2.274563789367676, -4.641417980194092, -0.8878341913223267]"
0,m,A farmer worked in the field. He dreamed of the harvest.,ext,outScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠHe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-21.354290008544922, -7.272557258605957, -1.4201582670211792, -0.9566023349761963, -1.0835117101669312, -3.132390260696411, -1.124024510383606, -8.245973587036133, -0.13749583065509796, -3.7342262268066406, -4.319270133972168, -1.5108345746994019]"
0,m,Every farmer worked in the field before he dreamed of the harvest.,uni,inScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġhe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-10.313337326049805, -8.90302562713623, -2.9903624057769775, -1.2548271417617798, -2.105567455291748, -5.918346405029297, -4.209776878356934, -8.330336570739746, -0.7378455400466919, -2.202409505844116, -2.528714656829834, -1.0891252756118774]"
0,m,Every farmer worked in the field. He dreamed of the harvest.,uni,outScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠHe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-10.313337326049805, -8.90302562713623, -2.9903624057769775, -1.2548271417617798, -2.105567455291748, -2.5089266300201416, -3.7499618530273438, -7.851105690002441, -0.2529081702232361, -2.989163637161255, -3.64070987701416, -1.374036431312561]"
0,m,No farmer worked in the field before he dreamed of the harvest.,no,inScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġhe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-16.799121856689453, -8.132861137390137, -2.3495872020721436, -0.8758998513221741, -2.0222673416137695, -5.586019039154053, -3.74735164642334, -8.217523574829102, -0.868731677532196, -2.0278568267822266, -2.959124803543091, -1.2879652976989746]"
0,m,No farmer worked in the field. He dreamed of the harvest.,no,outScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠHe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-16.799121856689453, -8.132861137390137, -2.3495872020721436, -0.8758998513221741, -2.0222673416137695, -2.119072437286377, -3.784071207046509, -8.703680992126465, -0.4264479875564575, -2.9796905517578125, -4.44965934753418, -1.810011863708496]"
0,f,A farmer worked in the field before she dreamed of the harvest.,ext,inScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġshe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-21.354290008544922, -7.272557258605957, -1.4201582670211792, -0.9566023349761963, -1.0835117101669312, -7.337531566619873, -7.028839588165283, -9.42916488647461, -0.8254761695861816, -2.44077205657959, -5.311695098876953, -1.058040976524353]"
0,f,A farmer worked in the field. She dreamed of the harvest.,ext,outScope,A|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠShe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-21.354290008544922, -7.272557258605957, -1.4201582670211792, -0.9566023349761963, -1.0835117101669312, -3.132390260696411, -4.519865036010742, -8.5704984664917, -0.1358741670846939, -3.871750593185425, -4.172128200531006, -1.735534429550171]"
0,f,Every farmer worked in the field before she dreamed of the harvest.,uni,inScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġshe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-10.313337326049805, -8.90302562713623, -2.9903624057769775, -1.2548271417617798, -2.105567455291748, -5.918346405029297, -6.66015625, -9.092514038085938, -0.9522384405136108, -2.6026062965393066, -4.051534175872803, -1.1723182201385498]"
0,f,Every farmer worked in the field. She dreamed of the harvest.,uni,outScope,Every|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|.|ĠShe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-10.313337326049805, -8.90302562713623, -2.9903624057769775, -1.2548271417617798, -2.105567455291748, -2.5089266300201416, -5.181421279907227, -7.607178688049316, -0.19026635587215424, -3.3271093368530273, -5.1776204109191895, -1.7674076557159424]"
0,f,No farmer worked in the field before she dreamed of the harvest.,no,inScope,No|Ġfarmer|Ġworked|Ġin|Ġthe|Ġfield|Ġbefore|Ġshe|Ġdreamed|Ġof|Ġthe|Ġharvest|.,"[-16.799121856689453, -8.132861137390137, -2.3495872020721436, -0.8758998513221741, -2.0222673416137695, -5.586019039154053, -5.676577568054199, -8.400732040405273, -1.0201013088226318, -2.105907440185547, -3.6491501331329346, -1.4988348484039307]"
