frame,gender,sent,subject,sentence_type,tokens,logprobs,slor_nofirst
0,m,"Either there was no treasure, or it was guarded by the dragon.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -8.419516563415527, -1.3780945539474487, -0.1555812507867813, -1.544005274772644, -0.574749231338501, -4.389601230621338, -0.3049180805683136, -2.8111863136291504, -4.390113830566406, -1.765089750289917]",3.872441989695107
0,m,"Either there was a treasure, or it was guarded by the dragon.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -8.798989295959473, -2.5440776348114014, -0.2844506502151489, -3.19827938079834, -0.41210001707077026, -6.491950511932373, -0.27210137248039246, -2.7378525733947754, -4.219303131103516, -1.4758617877960205]",3.385226577286388
0,m,"There was no treasure, or it was guarded by the dragon.",def,disjunction_or,"There|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-2.7972724437713623, -1.7473255395889282, -10.545976638793945, -2.168825149536133, -4.192237377166748, -4.472263813018799, -0.7148005962371826, -4.193953514099121, -0.3893808424472809, -2.60056209564209, -3.70924973487854, -1.7081212997436523]",3.472102893735748
0,m,"There was no treasure, and it was guarded by the dragon.",def,conjunction,"There|Ġwas|Ġno|Ġtreasure|,|Ġand|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-2.7972724437713623, -1.7473255395889282, -10.545976638793945, -2.168825149536133, -2.6667094230651855, -3.4003336429595947, -0.6909122467041016, -8.045376777648926, -0.23839201033115387, -2.655172348022461, -4.624041557312012, -2.088934898376465]",3.102822296538797
0,f,"Either there was no treasure, or it was guarded by the dragon.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -8.419516563415527, -1.3780945539474487, -0.1555812507867813, -1.544005274772644, -0.574749231338501, -4.389601230621338, -0.3049180805683136, -2.8111863136291504, -4.390113830566406, -1.765089750289917]",3.872441989695107
0,f,"Either there was a treasure, or it was guarded by the dragon.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -8.798989295959473, -2.5440776348114014, -0.2844506502151489, -3.19827938079834, -0.41210001707077026, -6.491950511932373, -0.27210137248039246, -2.7378525733947754, -4.219303131103516, -1.4758617877960205]",3.385226577286388
0,f,"There was no treasure, or it was guarded by the dragon.",def,disjunction_or,"There|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-2.7972724437713623, -1.7473255395889282, -10.545976638793945, -2.168825149536133, -4.192237377166748, -4.472263813018799, -0.7148005962371826, -4.193953514099121, -0.3893808424472809, -2.60056209564209, -3.70924973487854, -1.7081212997436523]",3.472102893735748
0,f,"There was no treasure, and it was guarded by the dragon.",def,conjunction,"There|Ġwas|Ġno|Ġtreasure|,|Ġand|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-2.7972724437713623, -1.7473255395889282, -10.545976638793945, -2.168825149536133, -2.6667094230651855, -3.4003336429595947, -0.6909122467041016, -8.045376777648926, -0.23839201033115387, -2.655172348022461, -4.624041557312012, -2.088934898376465]",3.102822296538797
1,m,"Either there was no manuscript, or it was hid by the librarian.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -10.535929679870605, -1.3014304637908936, -0.1913205236196518, -1.4220688343048096, -0.6360678672790527, -10.330384254455566, -2.5846481323242188, -1.0557177066802979, -6.798847198486328, -1.8785719871520996]",3.1689744327984686
1,m,"Either there was a manuscript, or it was hid by the librarian.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -11.272627830505371, -2.4465038776397705, -0.5070258378982544, -3.4763829708099365, -0.657203733921051, -11.816697120666504, -2.874964714050293, -1.2375317811965942, -7.184652328491211, -1.7572484016418457]",2.543778891679664
1,m,"There was no manuscript, or it was hid by the librarian.",def,disjunction_or,"There|Ġwas|Ġno|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-2.7972724437713623, -1.7473255395889282, -11.655732154846191, -2.3039143085479736, -4.037507057189941, -4.338167190551758, -0.7874695062637329, -10.119588851928711, -2.667952060699463, -0.9160627722740173, -7.103973865509033, -1.6099320650100708]",2.723113190161898
1,m,"There was no manuscript, and it was hid by the librarian.",def,conjunction,"There|Ġwas|Ġno|Ġmanuscript|,|Ġand|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-2.7972724437713623, -1.7473255395889282, -11.655732154846191, -2.3039143085479736, -2.307718515396118, -3.3546881675720215, -0.778704822063446, -14.748601913452148, -3.2379417419433594, -1.0435352325439453, -7.767033576965332, -1.8791396617889404]",2.2615487070389393
1,f,"Either there was no manuscript, or it was hid by the librarian.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -10.535929679870605, -1.3014304637908936, -0.1913205236196518, -1.4220688343048096, -0.6360678672790527, -10.330384254455566, -2.5846481323242188, -1.0557177066802979, -6.798847198486328, -1.8785719871520996]",3.1689744327984686
1,f,"Either there was a manuscript, or it was hid by the librarian.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -11.272627830505371, -2.4465038776397705, -0.5070258378982544, -3.4763829708099365, -0.657203733921051, -11.816697120666504, -2.874964714050293, -1.2375317811965942, -7.184652328491211, -1.7572484016418457]",2.543778891679664
1,f,"There was no manuscript, or it was hid by the librarian.",def,disjunction_or,"There|Ġwas|Ġno|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-2.7972724437713623, -1.7473255395889282, -11.655732154846191, -2.3039143085479736, -4.037507057189941, -4.338167190551758, -0.7874695062637329, -10.119588851928711, -2.667952060699463, -0.9160627722740173, -7.103973865509033, -1.6099320650100708]",2.723113190161898
1,f,"There was no manuscript, and it was hid by the librarian.",def,conjunction,"There|Ġwas|Ġno|Ġmanuscript|,|Ġand|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-2.7972724437713623, -1.7473255395889282, -11.655732154846191, -2.3039143085479736, -2.307718515396118, -3.3546881675720215, -0.778704822063446, -14.748601913452148, -3.2379417419433594, -1.0435352325439453, -7.767033576965332, -1.8791396617889404]",2.2615487070389393
2,m,"Either there was no painting, or it was stolen by the thief.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġpainting|,|Ġor|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -9.723465919494629, -1.9982566833496094, -0.23140458762645721, -1.3320833444595337, -0.45730799436569214, -4.34920597076416, -2.7213430404663086, -0.8826107978820801, -5.5984601974487305, -1.8665190935134888]",3.471691751396274
2,m,"Either there was a painting, or it was stolen by the thief.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġpainting|,|Ġor|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -9.877426147460938, -3.0874738693237305, -0.39871394634246826, -3.027937650680542, -0.560667872428894, -6.732262134552002, -3.172941207885742, -1.1814348697662354, -4.989634990692139, -1.568494439125061]",2.9279979371982554
2,m,"There was no painting, or it was stolen by the thief.",def,disjunction_or,"There|Ġwas|Ġno|Ġpainting|,|Ġor|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-2.7972724437713623, -1.7473255395889282, -10.893864631652832, -2.4618728160858154, -3.8609936237335205, -5.609066963195801, -0.6009833812713623, -5.441943645477295, -2.7425127029418945, -0.71430504322052, -6.112290382385254, -1.3957687616348267]",2.895421023861932
2,m,"There was no painting, and it was stolen by the thief.",def,conjunction,"There|Ġwas|Ġno|Ġpainting|,|Ġand|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-2.7972724437713623, -1.7473255395889282, -10.893864631652832, -2.4618728160858154, -3.0055363178253174, -3.690089702606201, -0.572004497051239, -11.185544967651367, -3.032440423965454, -1.175822138786316, -5.045427322387695, -1.5680935382843018]",2.4954911955390693
2,f,"Either there was no painting, or it was stolen by the thief.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġpainting|,|Ġor|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -9.723465919494629, -1.9982566833496094, -0.23140458762645721, -1.3320833444595337, -0.45730799436569214, -4.34920597076416, -2.7213430404663086, -0.8826107978820801, -5.5984601974487305, -1.8665190935134888]",3.471691751396274
2,f,"Either there was a painting, or it was stolen by the thief.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġpainting|,|Ġor|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -9.877426147460938, -3.0874738693237305, -0.39871394634246826, -3.027937650680542, -0.560667872428894, -6.732262134552002, -3.172941207885742, -1.1814348697662354, -4.989634990692139, -1.568494439125061]",2.9279979371982554
2,f,"There was no painting, or it was stolen by the thief.",def,disjunction_or,"There|Ġwas|Ġno|Ġpainting|,|Ġor|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-2.7972724437713623, -1.7473255395889282, -10.893864631652832, -2.4618728160858154, -3.8609936237335205, -5.609066963195801, -0.6009833812713623, -5.441943645477295, -2.7425127029418945, -0.71430504322052, -6.112290382385254, -1.3957687616348267]",2.895421023861932
2,f,"There was no painting, and it was stolen by the thief.",def,conjunction,"There|Ġwas|Ġno|Ġpainting|,|Ġand|Ġit|Ġwas|Ġstolen|Ġby|Ġthe|Ġthief|.","[-2.7972724437713623, -1.7473255395889282, -10.893864631652832, -2.4618728160858154, -3.0055363178253174, -3.690089702606201, -0.572004497051239, -11.185544967651367, -3.032440423965454, -1.175822138786316, -5.045427322387695, -1.5680935382843018]",2.4954911955390693
3,m,"Either there was no weapon, or it was secured by the soldier.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġweapon|,|Ġor|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -7.816222190856934, -1.478108286857605, -0.17922741174697876, -1.4442198276519775, -0.5584768652915955, -7.11940860748291, -2.8206160068511963, -1.2360466718673706, -7.275267601013184, -2.1867306232452393]",3.0798238831543605
3,m,"Either there was a weapon, or it was secured by the soldier.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġweapon|,|Ġor|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -8.741302490234375, -2.453063726425171, -0.2904677987098694, -3.220515489578247, -0.6002858281135559, -9.180252075195312, -2.6931581497192383, -1.6701754331588745, -7.04660701751709, -1.9516571760177612]",2.5132968695011537
3,m,"There was no weapon, or it was secured by the soldier.",def,disjunction_or,"There|Ġwas|Ġno|Ġweapon|,|Ġor|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-2.7972724437713623, -1.7473255395889282, -9.153254508972168, -2.439365863800049, -4.415173530578613, -4.543104648590088, -0.7709255218505859, -7.769440650939941, -2.7277979850769043, -0.8818984031677246, -7.581724166870117, -1.8305492401123047]",2.527066991194436
3,m,"There was no weapon, and it was secured by the soldier.",def,conjunction,"There|Ġwas|Ġno|Ġweapon|,|Ġand|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-2.7972724437713623, -1.7473255395889282, -9.153254508972168, -2.439365863800049, -2.207514524459839, -3.536592960357666, -0.8753136992454529, -9.972171783447266, -1.974825382232666, -2.171635150909424, -7.739892482757568, -2.221740245819092]",2.345305689759467
3,f,"Either there was no weapon, or it was secured by the soldier.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġweapon|,|Ġor|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -7.816222190856934, -1.478108286857605, -0.17922741174697876, -1.4442198276519775, -0.5584768652915955, -7.11940860748291, -2.8206160068511963, -1.2360466718673706, -7.275267601013184, -2.1867306232452393]",3.0798238831543605
3,f,"Either there was a weapon, or it was secured by the soldier.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġweapon|,|Ġor|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -8.741302490234375, -2.453063726425171, -0.2904677987098694, -3.220515489578247, -0.6002858281135559, -9.180252075195312, -2.6931581497192383, -1.6701754331588745, -7.04660701751709, -1.9516571760177612]",2.5132968695011537
3,f,"There was no weapon, or it was secured by the soldier.",def,disjunction_or,"There|Ġwas|Ġno|Ġweapon|,|Ġor|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-2.7972724437713623, -1.7473255395889282, -9.153254508972168, -2.439365863800049, -4.415173530578613, -4.543104648590088, -0.7709255218505859, -7.769440650939941, -2.7277979850769043, -0.8818984031677246, -7.581724166870117, -1.8305492401123047]",2.527066991194436
3,f,"There was no weapon, and it was secured by the soldier.",def,conjunction,"There|Ġwas|Ġno|Ġweapon|,|Ġand|Ġit|Ġwas|Ġsecured|Ġby|Ġthe|Ġsoldier|.","[-2.7972724437713623, -1.7473255395889282, -9.153254508972168, -2.439365863800049, -2.207514524459839, -3.536592960357666, -0.8753136992454529, -9.972171783447266, -1.974825382232666, -2.171635150909424, -7.739892482757568, -2.221740245819092]",2.345305689759467
4,m,"Either there was no flower, or it was planted by the gardener.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġflower|,|Ġor|Ġit|Ġwas|Ġplanted|Ġby|Ġthe|Ġgard|ener|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -9.562378883361816, -1.8617610931396484, -0.19592872262001038, -1.3546185493469238, -0.6391836404800415, -5.753662109375, -2.128525733947754, -1.5004901885986328, -4.181814193725586, -0.011375685222446918, -2.0479843616485596]",4.171052938494781
4,m,"Either there was a flower, or it was planted by the gardener.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġflower|,|Ġor|Ġit|Ġwas|Ġplanted|Ġby|Ġthe|Ġgard|ener|.","[-7.433967590332031, -1.9269226789474487, -0.9533094763755798, -9.97172737121582, -2.8131465911865234, -0.3609626889228821, -2.662653923034668, -0.6325290203094482, -7.200740814208984, -2.6138389110565186, -1.498900294303894, -3.9939661026000977, -0.015955274924635887, -1.6048941612243652]",3.759389932979881
4,m,"There was no flower, or it was planted by the gardener.",def,disjunction_or,"There|Ġwas|Ġno|Ġflower|,|Ġor|Ġit|Ġwas|Ġplanted|Ġby|Ġthe|Ġgard|ener|.","[-2.7972724437713623, -1.7473255395889282, -10.935506820678711, -2.938723564147949, -3.7944722175598145, -5.1029253005981445, -0.8972406387329102, -6.100100517272949, -3.45430326461792, -1.418025255203247, -3.5105466842651367, -0.017774345353245735, -1.8897454738616943]",3.6814695429632063
4,m,"There was no flower, and it was planted by the gardener.",def,conjunction,"There|Ġwas|Ġno|Ġflower|,|Ġand|Ġit|Ġwas|Ġplanted|Ġby|Ġthe|Ġgard|ener|.","[-2.7972724437713623, -1.7473255395889282, -10.935506820678711, -2.938723564147949, -2.7752623558044434, -3.454014778137207, -0.7284551858901978, -8.099141120910645, -2.9806032180786133, -1.5892924070358276, -4.605830192565918, -0.014196122996509075, -1.7923507690429688]",3.5386944669498064
4,f,"Either there was no flower, or it was planted by the gardener.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġflower|,|Ġor|Ġit|Ġwas|Ġplanted|Ġby|Ġthe|Ġgard|ener|.","[-7.433967590332031, -1.9269226789474487, -2.151702404022217, -9.562378883361816, -1.8617610931396484, -0.19592872262001038, -1.3546185493469238, -0.6391836404800415, -5.753662109375, -2.128525733947754, -1.5004901885986328, -4.181814193725586, -0.011375685222446918, -2.0479843616485596]",4.171052938494781
