frame,gender,sent,subject,sentence_type,tokens,logprobs,slor_nofirst
0,m,"Either there was no treasure, or it was guarded by the dragon.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.686661720275879, -1.9512999057769775, -1.7119423151016235, -8.470203399658203, -1.4185658693313599, -0.32902470231056213, -1.6102449893951416, -0.4834192991256714, -4.3649091720581055, -0.20120444893836975, -2.4903268814086914, -3.893768787384033, -1.6608911752700806]",3.947287073326109
0,m,"Either there was a treasure, or it was guarded by the dragon.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.686661720275879, -1.9512999057769775, -1.050012230873108, -8.852045059204102, -2.5265345573425293, -0.7516887187957764, -2.909038543701172, -0.4692639112472534, -7.707856178283691, -0.3325834572315216, -2.73954176902771, -3.5945260524749756, -1.4951171875]",3.283918639554278
0,m,"There was no treasure, or it was guarded by the dragon.",def,disjunction_or,"There|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-5.6566162109375, -1.7209906578063965, -10.064373970031738, -2.015374183654785, -4.140148162841797, -4.535426139831543, -0.37673670053482056, -6.15638542175293, -0.34617555141448975, -2.1568660736083984, -3.664201021194458, -1.392323613166809]",3.2232988385814245
0,m,"There was no treasure, and it was guarded by the dragon.",def,conjunction,"There|Ġwas|Ġno|Ġtreasure|,|Ġand|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-5.6566162109375, -1.7209906578063965, -10.064373970031738, -2.015374183654785, -2.498124122619629, -3.702086925506592, -0.5519073009490967, -9.684611320495605, -0.3435520529747009, -2.457904577255249, -4.341830253601074, -1.5834567546844482]",2.856859325338251
0,f,"Either there was no treasure, or it was guarded by the dragon.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.686661720275879, -1.9512999057769775, -1.7119423151016235, -8.470203399658203, -1.4185658693313599, -0.32902470231056213, -1.6102449893951416, -0.4834192991256714, -4.3649091720581055, -0.20120444893836975, -2.4903268814086914, -3.893768787384033, -1.6608911752700806]",3.947287073326109
0,f,"Either there was a treasure, or it was guarded by the dragon.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-7.686661720275879, -1.9512999057769775, -1.050012230873108, -8.852045059204102, -2.5265345573425293, -0.7516887187957764, -2.909038543701172, -0.4692639112472534, -7.707856178283691, -0.3325834572315216, -2.73954176902771, -3.5945260524749756, -1.4951171875]",3.283918639554278
0,f,"There was no treasure, or it was guarded by the dragon.",def,disjunction_or,"There|Ġwas|Ġno|Ġtreasure|,|Ġor|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-5.6566162109375, -1.7209906578063965, -10.064373970031738, -2.015374183654785, -4.140148162841797, -4.535426139831543, -0.37673670053482056, -6.15638542175293, -0.34617555141448975, -2.1568660736083984, -3.664201021194458, -1.392323613166809]",3.2232988385814245
0,f,"There was no treasure, and it was guarded by the dragon.",def,conjunction,"There|Ġwas|Ġno|Ġtreasure|,|Ġand|Ġit|Ġwas|Ġguarded|Ġby|Ġthe|Ġdragon|.","[-5.6566162109375, -1.7209906578063965, -10.064373970031738, -2.015374183654785, -2.498124122619629, -3.702086925506592, -0.5519073009490967, -9.684611320495605, -0.3435520529747009, -2.457904577255249, -4.341830253601074, -1.5834567546844482]",2.856859325338251
1,m,"Either there was no manuscript, or it was hid by the librarian.",def,disjunction_eitheror,"Either|Ġthere|Ġwas|Ġno|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-7.686661720275879, -1.9512999057769775, -1.7119423151016235, -9.575626373291016, -1.4040321111679077, -0.35344740748405457, -1.2587178945541382, -0.6812785863876343, -10.395435333251953, -2.488640785217285, -1.1509809494018555, -6.490362644195557, -2.055189609527588]",3.2492793316932187
1,m,"Either there was a manuscript, or it was hid by the librarian.",def,disjunction_eitheror_pos,"Either|Ġthere|Ġwas|Ġa|Ġmanuscript|,|Ġor|Ġit|Ġwas|Ġhid|Ġby|Ġthe|Ġlibrarian|.","[-7.686661720275879, -1.9512999057769775, -1.050012230873108, -9.74589729309082, -2.492032766342163, -1.05587899684906, -3.060275077819824, -0.6119369864463806, -13.188919067382812, -2.70992112159729, -1.2829337120056152, -6.219521522521973, -1.8615615367889404]",2.5921009228108214
